LFVR01000305.1	GCA_001047335.1
NZ_JBFAOA010000003.1	GCF_040675025.1
NZ_JBFAOB010000002.1	GCF_040675075.1
NZ_JBFAOE010000012.1	GCF_040675095.1
NZ_JBFAOD010000017.1	GCF_040675115.1
NZ_JBFAOP010000024.1	GCF_040675275.1
NZ_JBFAOU010000023.1	GCF_040675365.1
NZ_JBFAOW010000008.1	GCF_040675415.1
NZ_JBFAPB010000042.1	GCF_040675495.1
NZ_JBFAPD010000026.1	GCF_040675565.1
NZ_JBFAPH010000019.1	GCF_040675635.1
NZ_JBEGHN010000061.1	GCF_040676235.1
NZ_JBFAPJ010000002.1	GCF_040676655.1
NZ_JBFAPK010000002.1	GCF_040676675.1
NZ_JBFAPM010000002.1	GCF_040676695.1
NZ_JBFAPO010000008.1	GCF_040676755.1
NZ_JBFAPO010000094.1	GCF_040676755.1
NZ_JBFAPR010000045.1	GCF_040676795.1
NZ_JBFAQD010000001.1	GCF_040677035.1
NZ_JBFAQD010000010.1	GCF_040677035.1
NZ_JBFAQI010000001.1	GCF_040677215.1
NZ_JBFAQK010000085.1	GCF_040677245.1
NZ_JBFAQK010000016.1	GCF_040677245.1
NZ_JBFASA010000016.1	GCF_040677465.1
NZ_JBFASB010000004.1	GCF_040677525.1
NZ_JBFASC010000004.1	GCF_040677545.1
NZ_JBFASE010000002.1	GCF_040677585.1
NZ_JBFASF010000003.1	GCF_040677615.1
NZ_JBFASG010000002.1	GCF_040677635.1
NZ_JBFASG010000070.1	GCF_040677635.1
NZ_JBFASJ010000032.1	GCF_040677715.1
NZ_JBFASL010000045.1	GCF_040677735.1
NZ_JBFASM010000073.1	GCF_040677755.1
NZ_JBFASO010000013.1	GCF_040677775.1
NZ_JBFASN010000012.1	GCF_040677815.1
NZ_JBFASS010000002.1	GCF_040677875.1
NZ_JBFAST010000120.1	GCF_040677895.1
NZ_JBFASU010000003.1	GCF_040677955.1
NZ_JBFASZ010000001.1	GCF_040678035.1
NZ_JBFATA010000016.1	GCF_040678055.1
NZ_JBFATC010000015.1	GCF_040678075.1
NZ_JBFATD010000023.1	GCF_040678095.1
NZ_JBFATE010000005.1	GCF_040678135.1
NZ_JBFATI010000010.1	GCF_040678155.1
NZ_JBFATF010000012.1	GCF_040678175.1
NZ_JBFATG010000016.1	GCF_040678185.1
NZ_JBFATJ010000013.1	GCF_040678195.1
NZ_JBFATK010000009.1	GCF_040678255.1
NZ_JBFATM010000072.1	GCF_040678275.1
NZ_JBFATM010000022.1	GCF_040678275.1
NZ_JBFATL010000054.1	GCF_040678315.1
NZ_JBFATO010000028.1	GCF_040678355.1
NZ_JBFATS010000008.1	GCF_040678435.1
NZ_JBFATW010000017.1	GCF_040678485.1
NZ_JBFATY010000014.1	GCF_040678535.1
NZ_JBFATY010000001.1	GCF_040678535.1
NZ_JBFAUB010000001.1	GCF_040678655.1
NZ_JBFAUC010000001.1	GCF_040678695.1
NZ_JBFAUC010000050.1	GCF_040678695.1
NZ_JBFAQO010000009.1	GCF_040678715.1
NZ_JBFAQW010000019.1	GCF_040678955.1
NZ_JBFAUG010000014.1	GCF_040679115.1
NZ_JBFAUM010000054.1	GCF_040679195.1
NZ_JBFAUK010000019.1	GCF_040679255.1
NZ_JBFBCU010000049.1	GCF_040679305.1
NZ_JBFAUP010000002.1	GCF_040679335.1
NZ_JBFAUP010000042.1	GCF_040679335.1
NZ_JBFAUO010000001.1	GCF_040679375.1
NZ_JBFAUR010000172.1	GCF_040679415.1
NZ_JBFAUX010000003.1	GCF_040679515.1
NZ_JBFAUY010000083.1	GCF_040679575.1
NZ_JBFAVD010000046.1	GCF_040679615.1
NZ_JBFAVB010000018.1	GCF_040679635.1
NZ_JBFAVF010000052.1	GCF_040679675.1
NZ_JBFAVG010000038.1	GCF_040679715.1
NZ_JBFAVG010000016.1	GCF_040679715.1
NZ_JBFAVH010000024.1	GCF_040679735.1
NZ_JBFAVJ010000050.1	GCF_040679755.1
NZ_JBFAVL010000108.1	GCF_040679775.1
NZ_JBFAVL010000026.1	GCF_040679775.1
NZ_JBFAVK010000001.1	GCF_040679815.1
NZ_JBFAVP010000008.1	GCF_040679875.1
NZ_JBFAVP010000003.1	GCF_040679875.1
NZ_JBFAVS010000015.1	GCF_040679915.1
NZ_JBFAVU010000001.1	GCF_040679935.1
NZ_JBFAVR010000030.1	GCF_040679955.1
NZ_JBFAVV010000039.1	GCF_040679995.1
NZ_JBFAVY010000224.1	GCF_040680055.1
NZ_JBFAVY010000078.1	GCF_040680055.1
NZ_JBFAWB010000018.1	GCF_040680075.1
NZ_JBFAVZ010000013.1	GCF_040680105.1
NZ_JBFAWD010000001.1	GCF_040680135.1
NZ_JBFAWC010000019.1	GCF_040680155.1
NZ_JBFAWE010000031.1	GCF_040680175.1
NZ_JBFAWF010000036.1	GCF_040680195.1
NZ_JBFAWH010000021.1	GCF_040680235.1
NZ_JBFAWN010000071.1	GCF_040680355.1
NZ_JBFAWR010000001.1	GCF_040680375.1
NZ_JBFAWP010000005.1	GCF_040680395.1
NZ_JBFAWQ010000005.1	GCF_040680415.1
NZ_JBFAWS010000006.1	GCF_040680435.1
NZ_JBFAWW010000011.1	GCF_040680495.1
NZ_JBFAWV010000003.1	GCF_040680505.1
NZ_JBFAXE010000002.1	GCF_040680635.1
NZ_JBFAXF010000012.1	GCF_040680655.1
NZ_JBFAXG010000010.1	GCF_040680695.1
NZ_JBFAXK010000010.1	GCF_040680715.1
NZ_JBFAXK010000030.1	GCF_040680715.1
NZ_JBFAXI010000027.1	GCF_040680735.1
NZ_JBFAXJ010000042.1	GCF_040680775.1
NZ_JBFAXL010000021.1	GCF_040680795.1
NZ_JBFAXM010000048.1	GCF_040680815.1
NZ_JBFAXN010000011.1	GCF_040680835.1
NZ_JBFAXO010000029.1	GCF_040680875.1
NZ_JBFAXT010000051.1	GCF_040680935.1
NZ_JBFAXU010000043.1	GCF_040680975.1
NZ_JBFAXX010000037.1	GCF_040680995.1
NZ_JBFAXV010000004.1	GCF_040681015.1
NZ_JBFAXY010000015.1	GCF_040681035.1
NZ_JBFAYB010000079.1	GCF_040681075.1
NZ_JBFAYC010000004.1	GCF_040681085.1
NZ_JBFAYD010000002.1	GCF_040681125.1
NZ_JBFAYH010000016.1	GCF_040681205.1
NZ_JBFAYK010000003.1	GCF_040681225.1
NZ_JBFAYK010000007.1	GCF_040681225.1
NZ_JBFAYI010000007.1	GCF_040681245.1
NZ_JBFAYQ010000001.1	GCF_040681345.1
NZ_JBFAYP010000047.1	GCF_040681365.1
NZ_JBFAYR010000050.1	GCF_040681385.1
NZ_JBFAYS010000139.1	GCF_040681405.1
NZ_JBFAYU010000004.1	GCF_040681425.1
NZ_JBFAYX010000001.1	GCF_040681475.1
NZ_JBFAYV010000004.1	GCF_040681495.1
NZ_JBFAYV010000008.1	GCF_040681495.1
NZ_JBFAYY010000001.1	GCF_040681555.1
NZ_JBFAZC010000001.1	GCF_040681635.1
NZ_JBFAZD010000008.1	GCF_040681655.1
NZ_JBFAZG010000178.1	GCF_040681675.1
NZ_JBFAZF010000009.1	GCF_040681695.1
NZ_JBFAZI010000076.1	GCF_040681775.1
NZ_JBFAZN010000031.1	GCF_040681815.1
NZ_JBFAZO010000015.1	GCF_040681835.1
NZ_JBFAZO010000001.1	GCF_040681835.1
NZ_JBFAZM010000022.1	GCF_040681855.1
NZ_JBFAZT010000001.1	GCF_040681895.1
NZ_JBFAZS010000019.1	GCF_040681925.1
NZ_JBFBAC010000027.1	GCF_040682055.1
NZ_JBFBAI010000022.1	GCF_040682135.1
NZ_JBFBAG010000001.1	GCF_040682155.1
NZ_JBFBAM010000004.1	GCF_040682195.1
NZ_JBFBAS010000055.1	GCF_040682335.1
NZ_JBFBAU010000047.1	GCF_040682355.1
NZ_JBFBAT010000004.1	GCF_040682375.1
NZ_JBFBAW010000032.1	GCF_040682435.1
NZ_JBFBBA010000026.1	GCF_040682455.1
NZ_JBFBBG010000036.1	GCF_040682515.1
NZ_JBFBBE010000126.1	GCF_040682555.1
NZ_JBFBBE010000119.1	GCF_040682555.1
NZ_JBFBBE010000093.1	GCF_040682555.1
NZ_JBFBBF010000095.1	GCF_040682575.1
NZ_JBFBBF010000083.1	GCF_040682575.1
NZ_JBFBBH010000022.1	GCF_040682595.1
NZ_JBFBBJ010000015.1	GCF_040682615.1
NZ_JBFBBJ010000004.1	GCF_040682615.1
NZ_JBFBCY010000082.1	GCF_040682655.1
NZ_JBFBBN010000006.1	GCF_040682715.1
NZ_JBFBBN010000005.1	GCF_040682715.1
NZ_JBFBBR010000011.1	GCF_040682795.1
NZ_JBFBBT010000001.1	GCF_040682815.1
NZ_JBFBBW010000027.1	GCF_040682855.1
NZ_JBFBBY010000004.1	GCF_040682875.1
NZ_JBFBBV010000005.1	GCF_040682885.1
NZ_JBFBCB010000004.1	GCF_040682975.1
NZ_JBFBCA010000001.1	GCF_040682995.1
NZ_JBFBCD010000007.1	GCF_040683015.1
NZ_JBFBCF010000017.1	GCF_040683035.1
NZ_JBFBDD010000006.1	GCF_040683075.1
NZ_JBFBCI010000011.1	GCF_040683095.1
NZ_JBFBDF010000003.1	GCF_040683155.1
NZ_JBFBDH010000044.1	GCF_040683175.1
NZ_JBFBOK010000020.1	GCF_040683235.1
NZ_JBFBDL010000010.1	GCF_040683275.1
NZ_JBFBDK010000028.1	GCF_040683295.1
NZ_JBFBDM010000008.1	GCF_040683315.1
NZ_JBFBDO010000020.1	GCF_040683335.1
NZ_JBFBDQ010000001.1	GCF_040683355.1
NZ_JBFBDQ010000041.1	GCF_040683355.1
NZ_JBFBEB010000044.1	GCF_040683515.1
NZ_JBFBEC010000002.1	GCF_040683535.1
NZ_JBFBEE010000012.1	GCF_040683555.1
NZ_JBFBEE010000006.1	GCF_040683555.1
NZ_JBFBEG010000008.1	GCF_040683595.1
NZ_JBFBEG010000016.1	GCF_040683595.1
NZ_JBFBEI010000014.1	GCF_040683615.1
NZ_JBFBEH010000012.1	GCF_040683635.1
NZ_JBFBEH010000008.1	GCF_040683635.1
NZ_JBFBEQ010000005.1	GCF_040683755.1
NZ_JBFBET010000006.1	GCF_040683775.1
NZ_JBFBER010000005.1	GCF_040683795.1
NZ_JBFBEW010000004.1	GCF_040683855.1
NZ_JBFBFB010000007.1	GCF_040683935.1
NZ_JBFBNW010000010.1	GCF_040683955.1
NZ_JBFBFC010000006.1	GCF_040683975.1
NZ_JBFBFD010000032.1	GCF_040683995.1
NZ_JBFBFE010000006.1	GCF_040684015.1
NZ_JBFBNX010000037.1	GCF_040684055.1
NZ_JBFBFM010000072.1	GCF_040684215.1
NZ_JBFBFO010000001.1	GCF_040684255.1
NZ_JBFBFP010000048.1	GCF_040684275.1
NZ_JBFBFP010000015.1	GCF_040684275.1
NZ_JBFBFS010000052.1	GCF_040684335.1
NZ_JBFBFV010000006.1	GCF_040684375.1
NZ_JBFBFX010000305.1	GCF_040684395.1
NZ_JBFBGB010000002.1	GCF_040684415.1
NZ_JBFBFZ010000005.1	GCF_040684435.1
NZ_JBFBGA010000147.1	GCF_040684455.1
NZ_JBFBGF010000010.1	GCF_040684515.1
NZ_JBFBGE010000008.1	GCF_040684535.1
NZ_JBFBGI010000017.1	GCF_040684555.1
NZ_JBFBGK010000012.1	GCF_040684615.1
NZ_JBFBGL010000041.1	GCF_040684635.1
NZ_JBFBGO010000007.1	GCF_040684655.1
NZ_JBFBGN010000069.1	GCF_040684675.1
NZ_JBFBGN010000151.1	GCF_040684675.1
NZ_JBFBGP010000040.1	GCF_040684735.1
NZ_JBFBGR010000032.1	GCF_040684755.1
NZ_JBFBGS010000047.1	GCF_040684795.1
NZ_JBFBHV010000023.1	GCF_040685315.1
NZ_JBFBHT010000003.1	GCF_040685335.1
NZ_JBFBHX010000106.1	GCF_040685355.1
NZ_JBFBHU010000001.1	GCF_040685365.1
NZ_JBFBHU010000048.1	GCF_040685365.1
NZ_JBFBHU010000058.1	GCF_040685365.1
NZ_JBFBIB010000008.1	GCF_040685435.1
NZ_JBFBHZ010000005.1	GCF_040685455.1
NZ_JBFBIE010000006.1	GCF_040685515.1
NZ_JBFBIE010000005.1	GCF_040685515.1
NZ_JBFBIJ010000013.1	GCF_040685535.1
NZ_JBFBIK010000040.1	GCF_040685555.1
NZ_JBFBIO010000025.1	GCF_040685595.1
NZ_JBFBIM010000006.1	GCF_040685615.1
NZ_JBFBIN010000043.1	GCF_040685635.1
NZ_JBFBIQ010000026.1	GCF_040685695.1
NZ_JBFBOL010000056.1	GCF_040685735.1
NZ_JBFBJG010000017.1	GCF_040685935.1
NZ_JBFBOC010000006.1	GCF_040685975.1
NZ_JBFBOC010000002.1	GCF_040685975.1
NZ_JBFBJH010000006.1	GCF_040686015.1
NZ_JBFBJN010000061.1	GCF_040686035.1
NZ_JBFBJL010000055.1	GCF_040686075.1
NZ_JBFBJL010000002.1	GCF_040686075.1
NZ_JBFBJM010000087.1	GCF_040686115.1
NZ_JBFBJU010000104.1	GCF_040686135.1
NZ_JBFBJV010000017.1	GCF_040686235.1
NZ_JBFBJZ010000050.1	GCF_040686255.1
NZ_JBFBOD010000027.1	GCF_040686275.1
NZ_JBFBJW010000005.1	GCF_040686315.1
NZ_JBFBKE010000001.1	GCF_040686415.1
NZ_JBFBLO010000004.1	GCF_040686735.1
NZ_JBFBMW010000031.1	GCF_040687255.1
NZ_JBFBMW010000013.1	GCF_040687255.1
NZ_JBFBNE010000031.1	GCF_040687335.1
NZ_JBFBNH010000013.1	GCF_040687395.1
NZ_JBFBNI010000053.1	GCF_040687415.1
NZ_JBFBNK010000043.1	GCF_040687435.1
NZ_JBFBNJ010000064.1	GCF_040687455.1
NZ_JBFBNS010000048.1	GCF_040687635.1
NZ_JBFBNU010000034.1	GCF_040687655.1
NZ_JBFBNU010000021.1	GCF_040687655.1
NZ_JBFAUJ010000030.1	GCF_040689175.1
NZ_JBFATV010000002.1	GCF_040689205.1
NZ_JBFAXA010000008.1	GCF_040689265.1
NZ_JBFAWM010000001.1	GCF_040689285.1
NZ_JBFAWM010000012.1	GCF_040689285.1
NZ_JBFAXB010000002.1	GCF_040689305.1
NZ_JBFAXW010000040.1	GCF_040689325.1
NZ_JBFAXD010000001.1	GCF_040689335.1
NZ_JBFAZQ010000005.1	GCF_040689385.1
NZ_JBFAZZ010000003.1	GCF_040689425.1
NZ_JBFBAV010000056.1	GCF_040689505.1
NZ_JBFBBD010000047.1	GCF_040689515.1
NZ_JBFBBD010000067.1	GCF_040689515.1
NZ_JBFBDS010000009.1	GCF_040701545.1
NZ_JBFBDP010000047.1	GCF_040701585.1
NZ_JBFBDP010000057.1	GCF_040701585.1
NZ_JBFBEL010000001.1	GCF_040701665.1
NZ_JBFBEP010000001.1	GCF_040701685.1
NZ_JBFBFW010000001.1	GCF_040701745.1
NZ_JBFBHQ010000002.1	GCF_040701845.1
NZ_JBFBIG010000097.1	GCF_040701905.1
NZ_JBFBIF010000016.1	GCF_040701945.1
NZ_JBFBIV010000025.1	GCF_040702025.1
NZ_JBFBIU010000015.1	GCF_040702045.1
NZ_JBFBJI010000024.1	GCF_040702065.1
NZ_JBFBJI010000055.1	GCF_040702065.1
NZ_JBFBJS010000052.1	GCF_040702105.1
NZ_JBFBKB010000036.1	GCF_040702185.1
NZ_JBFBKB010000015.1	GCF_040702185.1
NZ_JBFBKF010000016.1	GCF_040702245.1
NZ_JBFBMY010000033.1	GCF_040702825.1
NZ_JBFBMY010000023.1	GCF_040702825.1
NZ_JBEXEQ010000007.1	GCF_040703155.1
NZ_JBEXDL010000003.1	GCF_040703215.1
NZ_JBEXDL010000002.1	GCF_040703215.1
NZ_JBEXDL010000006.1	GCF_040703215.1
NZ_JBEXEZ010000055.1	GCF_040703255.1
NZ_JBEXGK010000003.1	GCF_040703295.1
NZ_JBEYJX010000006.1	GCF_040703335.1
NZ_JBEYCS010000026.1	GCF_040703375.1
NZ_JBEYDY010000006.1	GCF_040703395.1
NZ_JBEYKR010000018.1	GCF_040703535.1
NZ_JBEYFY010000003.1	GCF_040703595.1
NZ_JBEYEZ010000005.1	GCF_040703615.1
NZ_JBEYGC010000008.1	GCF_040703655.1
NZ_JBEYGR010000016.1	GCF_040703675.1
NZ_JBEYGR010000024.1	GCF_040703675.1
NZ_JBEYHE010000041.1	GCF_040703755.1
NZ_JBEYHM010000002.1	GCF_040703775.1
NZ_JBEYJA010000037.1	GCF_040703815.1
NZ_JBEYJG010000010.1	GCF_040703855.1
NZ_JBEYJG010000006.1	GCF_040703855.1
NZ_JBEYJK010000005.1	GCF_040703875.1
NZ_JBEYJI010000005.1	GCF_040703895.1
NZ_JBEYJT010000028.1	GCF_040703915.1
NZ_JBEYJL010000010.1	GCF_040703935.1
NZ_JBEZXV010000010.1	GCF_040704005.1
NZ_JBEZXV010000036.1	GCF_040704005.1
NZ_JBEZYW010000018.1	GCF_040704035.1
NZ_JBEYRP010000010.1	GCF_040704085.1
NZ_JBEYRL010000037.1	GCF_040704095.1
NZ_JBEYRS010000020.1	GCF_040704135.1
NZ_JBEYRW010000018.1	GCF_040704155.1
NZ_JBEYRZ010000014.1	GCF_040704205.1
NZ_JBEYSI010000035.1	GCF_040704215.1
NZ_JBEYSW010000066.1	GCF_040704295.1
NZ_JBEYTY010000054.1	GCF_040704395.1
NZ_JBEYUR010000028.1	GCF_040704405.1
NZ_JBEYVE010000008.1	GCF_040704495.1
NZ_JBEYWC010000040.1	GCF_040704505.1
NZ_JBEYWB010000002.1	GCF_040704515.1
NZ_JBEYVR010000002.1	GCF_040704525.1
NZ_JBEYVR010000001.1	GCF_040704525.1
NZ_JBEYWD010000016.1	GCF_040704535.1
NZ_JBEYXM010000005.1	GCF_040704595.1
NZ_JBEYXP010000033.1	GCF_040704615.1
NZ_JBEZKP010000091.1	GCF_040706335.1
NZ_JBEZND010000001.1	GCF_040706415.1
NZ_JBEZOE010000005.1	GCF_040706495.1
NZ_JBFMIE010000062.1	GCF_040742845.1
NZ_JBFLVF010000034.1	GCF_040750255.1
NZ_JBFLVB010000096.1	GCF_040750315.1
NZ_JBFLVG010000310.1	GCF_040750355.1
NZ_JBFARW010000040.1	GCF_040760085.1
NZ_CP160403.1	GCF_040782645.1
NZ_JBFNGR010000021.1	GCF_040796665.1
NZ_JBFAFN010000005.1	GCF_040802035.1
NZ_CP161948.1	GCF_040819605.1
NZ_JBFOHP010000002.1	GCF_040907265.1
NZ_JBFQGI010000011.1	GCF_040932295.1
NZ_JBFQGI010000003.1	GCF_040932295.1
NZ_JBFLUG010000026.1	GCF_041008525.1
NZ_JBFBOR010000033.1	GCF_041021105.1
NZ_JBFBOQ010000062.1	GCF_041021135.1
NZ_JASHLV010000001.1	GCF_041028145.1
NZ_JASHLU010000027.1	GCF_041028165.1
NZ_CP163427.1	GCF_041051855.1
NZ_CP163431.1	GCF_041051895.1
NZ_CP163432.1	GCF_041051905.1
NZ_CP163435.1	GCF_041051975.1
NZ_CP163439.1	GCF_041052385.1
NZ_CP163440.1	GCF_041053035.1
NZ_CP163441.1	GCF_041053045.1
NZ_CP163443.1	GCF_041053055.1
NZ_CP163444.1	GCF_041053105.1
NZ_CP163518.1	GCF_041080625.1
NZ_CP163525.1	GCF_041080655.1
NZ_CP163523.1	GCF_041080665.1
NZ_CP163520.1	GCF_041080675.1
NZ_BAAFGR010000089.1	GCF_041154655.1
NZ_JBGCCQ010000029.1	GCF_041260625.1
NZ_JBGCBW010000015.1	GCF_041261565.1
NZ_JBGCCO010000032.1	GCF_041262605.1
NZ_JBGCCS010000048.1	GCF_041262645.1
NZ_JBGGHM010000782.1	GCF_041276375.1
NZ_CP166299.1	GCF_041283565.1
NZ_CP166850.1	GCF_041346945.1
NZ_CP166849.1	GCF_041346955.1
NZ_CP166848.1	GCF_041346965.1
NZ_JASKYU010000207.1	GCF_041363955.1
NZ_JAHWZY010000045.1	GCF_041380215.1
NZ_JBGLOT010000010.1	GCF_041402685.1
NZ_CP107753.1	GCF_041431075.1
NZ_CP107787.1	GCF_041431115.1
NZ_CP107800.1	GCF_041431135.1
NZ_CP107871.1	GCF_041432505.1
NZ_CP107889.1	GCF_041433975.1
NZ_CP107896.1	GCF_041433995.1
NZ_CP108003.1	GCF_041435055.1
NZ_CP108016.1	GCF_041435075.1
NZ_CP108025.1	GCF_041435095.1
NZ_CP108046.1	GCF_041435115.1
NZ_CP108059.1	GCF_041435135.1
NZ_CP108106.1	GCF_041435195.1
NZ_CP108394.1	GCF_041435215.1
NZ_CP108444.1	GCF_041435355.1
NZ_CP108468.1	GCF_041435395.1
NZ_CP108477.1	GCF_041435415.1
NZ_CP108494.1	GCF_041435435.1
NZ_CP108541.1	GCF_041435475.1
NZ_CP109088.1	GCF_041438605.1
NZ_CP109158.1	GCF_041438685.1
NZ_CP109451.1	GCF_041438865.1
NZ_JBGMQM010000038.1	GCF_041447365.1
NZ_JBGOSP010000066.1	GCF_041537965.1
NZ_JBGORK010000002.1	GCF_041538145.1
NZ_JAPDRC010000002.1	GCF_041644795.1
NZ_JBGDMD010000001.1	GCF_041679295.1
NZ_JBAISJ010000001.1	GCF_041695395.1
NZ_JBAFSW010000001.1	GCF_041695405.1
NZ_JBGVSN010000011.1	GCF_041862005.1
NZ_JBGWAB010000144.1	GCF_041862025.1
NZ_JBGWAB010000135.1	GCF_041862025.1
NZ_JBGNUU010000014.1	GCF_041950485.1
NZ_JBGNUW010000011.1	GCF_041950495.1
NZ_JBGNUS010000003.1	GCF_041951365.1
NZ_JBGNUS010000006.1	GCF_041951365.1
NZ_JBGNUT010000026.1	GCF_041951385.1
NZ_JBHJRH010000027.1	GCF_042260865.1
NZ_JBHJRI010000009.1	GCF_042260875.1
NZ_JBHJQB010000032.1	GCF_042261165.1
NZ_JBHJPJ010000248.1	GCF_042261175.1
NZ_JBHJQE010000014.1	GCF_042261295.1
NZ_JBHJPC010000003.1	GCF_042261325.1
NZ_JBHJQT010000009.1	GCF_042261475.1
NZ_JBHJQY010000002.1	GCF_042261605.1
NZ_JBHJQN010000009.1	GCF_042261665.1
NZ_JBHJQS010000103.1	GCF_042261725.1
NZ_JBHJRC010000035.1	GCF_042261735.1
NZ_JBHJQW010000008.1	GCF_042261805.1
NZ_JBHJQU010000142.1	GCF_042261825.1
NZ_JBHJPZ010000013.1	GCF_042261925.1
NZ_JBHJOZ010000061.1	GCF_042261955.1
NZ_JBHJPP010000197.1	GCF_042262005.1
NZ_JBHJPE010000013.1	GCF_042262105.1
NZ_JBHJPV010000003.1	GCF_042262125.1
NZ_JBHJPD010000127.1	GCF_042262145.1
NZ_JBHJPD010000137.1	GCF_042262145.1
NZ_JBHJQJ010000040.1	GCF_042262365.1
NZ_JBHJPL010000106.1	GCF_042262585.1
NZ_JBHJQD010000019.1	GCF_042262755.1
NZ_JBHJQF010000110.1	GCF_042262885.1
NZ_JBHJRK010000052.1	GCF_042262965.1
NZ_JBHJPR010000074.1	GCF_042263045.1
NZ_JBHJPW010000013.1	GCF_042263085.1
NZ_JBHJPM010000128.1	GCF_042263125.1
NZ_JBHJQZ010000031.1	GCF_042263185.1
NZ_JBHJPA010000026.1	GCF_042263225.1
NZ_JBHJRA010000020.1	GCF_042263245.1
NZ_JBHJRG010000007.1	GCF_042263325.1
NZ_JBHJRD010000002.1	GCF_042263345.1
NZ_JBHJRB010000035.1	GCF_042263445.1
NZ_JBHJRB010000023.1	GCF_042263445.1
NZ_JBHJVU010000239.1	GCF_042263805.1
NZ_JBHJWD010000010.1	GCF_042263945.1
NZ_JBHJVZ010000044.1	GCF_042264005.1
NZ_JBHJVH010000024.1	GCF_042264385.1
NZ_JBHJWJ010000004.1	GCF_042264645.1
NZ_JBHJVO010000009.1	GCF_042264765.1
NZ_JBHJVS010000001.1	GCF_042264865.1
NZ_JBHJTN010000004.1	GCF_042264925.1
NZ_JBHJTS010000036.1	GCF_042264945.1
NZ_JBHJUR010000003.1	GCF_042265145.1
NZ_JBHJTZ010000131.1	GCF_042265225.1
NZ_JBHJUA010000004.1	GCF_042265325.1
NZ_JBHJTQ010000027.1	GCF_042265405.1
NZ_JBHJSN010000039.1	GCF_042265445.1
NZ_JBHJSP010000050.1	GCF_042265505.1
NZ_JBHJSV010000051.1	GCF_042265525.1
NZ_JBHJSQ010000573.1	GCF_042265585.1
NZ_JBHJST010000082.1	GCF_042265665.1
NZ_JBHJTA010000053.1	GCF_042265705.1
NZ_JBHJSY010000025.1	GCF_042265725.1
NZ_JBHJSZ010000035.1	GCF_042265785.1
NZ_JBHJTB010000018.1	GCF_042265805.1
NZ_JBHJRP010000033.1	GCF_042265875.1
NZ_JBHJRS010000030.1	GCF_042265915.1
NZ_JBHJRV010000043.1	GCF_042266085.1
NZ_JBHJRN010000004.1	GCF_042266145.1
NZ_JBHJWG010000057.1	GCF_042266305.1
NZ_JBHJVY010000002.1	GCF_042266325.1
NZ_JBHJVX010000029.1	GCF_042266345.1
NZ_JBHJWE010000017.1	GCF_042266425.1
NZ_JBHJWK010000044.1	GCF_042266525.1
NZ_JBHJWI010000001.1	GCF_042266565.1
NZ_JBHJWF010000094.1	GCF_042266595.1
NZ_JBHJWY010000025.1	GCF_042266745.1
NZ_JBHJWN010000107.1	GCF_042266805.1
NZ_JBHJWO010000001.1	GCF_042266925.1
NZ_JBHJWX010000217.1	GCF_042267025.1
NZ_JBHJWR010000065.1	GCF_042267105.1
NZ_JBHJWT010000005.1	GCF_042267155.1
NZ_JBHJWU010000039.1	GCF_042267185.1
NZ_JBHJXA010000005.1	GCF_042267285.1
NZ_JBHJXB010000064.1	GCF_042267325.1
NZ_JBHJXB010000045.1	GCF_042267325.1
NZ_JBHJRM010000006.1	GCF_042267405.1
NZ_JBHJXF010000065.1	GCF_042267415.1
NZ_JBHJTD010000038.1	GCF_042267605.1
NZ_JBHJTO010000006.1	GCF_042267825.1
NZ_JBHJTX010000019.1	GCF_042267845.1
NZ_JBHJUF010000003.1	GCF_042268045.1
NZ_JBHJTV010000001.1	GCF_042268065.1
NZ_JBHJUD010000001.1	GCF_042268085.1
NZ_JBHJUI010000047.1	GCF_042268405.1
NZ_JBHJUO010000011.1	GCF_042268445.1
NZ_JBHJRX010000015.1	GCF_042268605.1
NZ_JBHJRX010000008.1	GCF_042268605.1
NZ_JBHJSG010000027.1	GCF_042268655.1
NZ_JBHJSD010000047.1	GCF_042268825.1
NZ_JBHJSK010000019.1	GCF_042268905.1
NZ_JBHJSE010000047.1	GCF_042268965.1
NZ_JBHJSO010000002.1	GCF_042269045.1
NZ_JBHJSU010000065.1	GCF_042269145.1
NZ_JBHJSL010000014.1	GCF_042269225.1
NZ_JBHJSS010000033.1	GCF_042269245.1
NZ_JBHJXS010000005.1	GCF_042269265.1
NZ_JBHJXT010000078.1	GCF_042269285.1
NZ_JBHJSM010000020.1	GCF_042269305.1
NZ_JBHJXU010000002.1	GCF_042269385.1
NZ_JBHJXW010000039.1	GCF_042269465.1
NZ_JBHJXZ010000006.1	GCF_042269585.1
NZ_JBHJYB010000014.1	GCF_042269645.1
NZ_JBHJYA010000004.1	GCF_042269665.1
NZ_JBHJYK010000012.1	GCF_042269865.1
NZ_JBHJYW010000015.1	GCF_042269925.1
NZ_JBHJYM010000003.1	GCF_042270005.1
NZ_JBHJYQ010000004.1	GCF_042270035.1
NZ_JBHJYN010000011.1	GCF_042270185.1
NZ_JBHJYU010000012.1	GCF_042270205.1
NZ_JBHJYS010000030.1	GCF_042270245.1
NZ_JBHJZQ010000029.1	GCF_042270425.1
NZ_JBHJZG010000001.1	GCF_042270585.1
NZ_JBHJZE010000063.1	GCF_042270665.1
NZ_JBHJYZ010000002.1	GCF_042270685.1
NZ_JBHJZC010000040.1	GCF_042270765.1
NZ_JBHJZD010000041.1	GCF_042270865.1
