Organism	Scaffold	Start	End	Score	SCO5086	SCO5087	SCO5088	SCO5089	assembly_file	representative	dereplication_status
Streptomyces syringium NPDC013434	NZ_JBEYCZ010000002.1	47338	64982	7.1678	1	1	1	1	GCF_040633105.1_ASM4063310v1_genomic.fna.gz	GCF_040633105.1_ASM4063310v1_genomic.fna.gz	dereplication_representative
Streptomyces syringium NPDC006537	NZ_JBEXOY010000005.1	19381	37216	7.1693	1	1	1	1	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	dereplication_representative
Streptomyces syringium NPDC006439	NZ_JBEXPX010000002.1	147471	165463	7.1693	1	1	1	1	GCF_040612275.1_ASM4061227v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	redundant
Streptomyces syringium NPDC007050	NZ_JBEYGO010000007.1	87118	104953	7.1688	1	1	1	1	GCF_040634775.1_ASM4063477v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	redundant
Streptomyces syringium NPDC053777	NZ_JBFASJ010000032.1	15757	33447	7.1691	1	1	1	1	GCF_040677715.1_ASM4067771v1_genomic.fna.gz	GCF_044544205.1_ASM4454420v1_genomic.fna.gz	redundant
Streptomyces syringium NPDC053754	NZ_JBFASL010000045.1	19384	37219	7.1691	1	1	1	1	GCF_040677735.1_ASM4067773v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	redundant
Streptomyces syringium NPDC053751	NZ_JBFASM010000073.1	22186	24989	5.133	0	1	1	1	GCF_040677755.1_ASM4067775v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	readded_by_content
Streptomyces syringium NPDC051212	NZ_JBFBAU010000047.1	3696	20627	7.1691	1	1	1	1	GCF_040682355.1_ASM4068235v1_genomic.fna.gz	GCF_040682355.1_ASM4068235v1_genomic.fna.gz	dereplication_representative
Streptomyces syringium NPDC059887	NZ_JBHWKI010000024.1	46256	62421	7.1695	1	1	1	1	GCF_042731105.1_ASM4273110v1_genomic.fna.gz	GCF_042731105.1_ASM4273110v1_genomic.fna.gz	dereplication_representative
Streptomyces syringium NPDC007986	NZ_JBIBJF010000005.1	87094	104929	7.1691	1	1	1	1	GCF_042958385.1_ASM4295838v1_genomic.fna.gz	GCF_040611815.1_ASM4061181v1_genomic.fna.gz	redundant
Streptomyces syringium NPDC053779	NZ_JBITWZ010000012.1	58773	76479	7.1691	1	1	1	1	GCF_044544205.1_ASM4454420v1_genomic.fna.gz	GCF_044544205.1_ASM4454420v1_genomic.fna.gz	dereplication_representative
Nocardia exalbida NBRC 100660	NZ_BAFZ01000164.1	11107	20399	6.1662	1	1	1	1	GCF_000308575.1_ASM30857v1_genomic.fna.gz	GCF_000308575.1_ASM30857v1_genomic.fna.gz	dereplication_representative
Nocardia sputorum IFM12275	NZ_AP026976.1	6943945	6953470	6.1673	1	1	1	1	GCF_027924345.1_ASM2792434v1_genomic.fna.gz	GCF_040632645.1_ASM4063264v1_genomic.fna.gz	redundant
Nocardia sputorum IFM 12276	NZ_AP026978.1	1222866	1232390	6.1673	1	1	1	1	GCF_027924405.1_ASM2792440v1_genomic.fna.gz	GCF_040632645.1_ASM4063264v1_genomic.fna.gz	redundant
Streptomyces tanashiensis NPDC012760	NZ_JBIBCR010000021.1	15539	20135	5.1535	1	1	1	0	GCF_042901265.1_ASM4290126v1_genomic.fna.gz	GCF_042901265.1_ASM4290126v1_genomic.fna.gz	dereplication_representative
Streptomyces tanashiensis JCM 4086	NZ_BMRZ01000025.1	15503	20099	5.1533	1	1	1	0	GCF_014648895.1_ASM1464889v1_genomic.fna.gz	GCF_042901265.1_ASM4290126v1_genomic.fna.gz	redundant
Streptomyces tanashiensis JCM 4498	NZ_BMUH01000023.1	55751	60347	5.1536	1	1	1	0	GCF_014650095.1_ASM1465009v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	redundant
Streptomyces tanashiensis Kala	NZ_CP084204.1	2127114	2149102	6.1602	1	1	1	1	GCF_026427415.1_ASM2642741v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	readded_by_content
Streptomyces tanashiensis NPDC047066	NZ_JBEYVF010000033.1	56852	61448	5.1533	1	1	1	0	GCF_040643835.1_ASM4064383v1_genomic.fna.gz	GCF_040643835.1_ASM4064383v1_genomic.fna.gz	dereplication_representative
Streptomyces tanashiensis NPDC044950	NZ_JBEZBH010000033.1	48165	52761	5.1536	1	1	1	0	GCF_040646995.1_ASM4064699v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	redundant
Streptomyces tanashiensis NPDC026975	NZ_JBEZXN010000055.1	18115	22711	5.1536	1	1	1	0	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	dereplication_representative
Streptomyces tanashiensis NPDC025848	NZ_JBEZYO010000048.1	15555	20151	5.1536	1	1	1	0	GCF_040638555.1_ASM4063855v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	redundant
Streptomyces tanashiensis NPDC089876	NZ_JBFBGP010000040.1	15815	20412	5.154	1	1	1	0	GCF_040684735.1_ASM4068473v1_genomic.fna.gz	GCF_042958785.1_ASM4295878v1_genomic.fna.gz	redundant
Streptomyces tanashiensis DSM 40314	NZ_JBFNGR010000021.1	15541	20137	5.1536	1	1	1	0	GCF_040796665.1_ASM4079666v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	redundant
Streptomyces tanashiensis NPDC012695	NZ_JBIBDC010000025.1	15494	20090	5.1536	1	1	1	0	GCF_042954795.1_ASM4295479v1_genomic.fna.gz	GCF_040638055.1_ASM4063805v1_genomic.fna.gz	redundant
Streptomyces tanashiensis NPDC007962	NZ_JBIBJP010000026.1	15559	20156	5.154	1	1	1	0	GCF_042958785.1_ASM4295878v1_genomic.fna.gz	GCF_042958785.1_ASM4295878v1_genomic.fna.gz	dereplication_representative
Nocardia sp. GCM10030253 CPCC 206393	NZ_JBHTDL010000008.1	224478	235043	6.167	1	1	1	1	GCF_042675075.1_ASM4267507v1_genomic.fna.gz	GCF_042675075.1_ASM4267507v1_genomic.fna.gz	dereplication_representative
Nocardiopsis aegyptia DSM 44442	NZ_JACCFS010000001.1	4466685	4482161	7.1644	1	1	1	1	GCF_013410755.1_ASM1341075v1_genomic.fna.gz	GCF_013410755.1_ASM1341075v1_genomic.fna.gz	dereplication_representative
Nocardiopsis aegyptia NPDC059190	NZ_JBHZBL010000003.1	403002	419909	7.1642	1	1	1	1	GCF_042754845.1_ASM4275484v1_genomic.fna.gz	GCF_042754845.1_ASM4275484v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NBC_00466 NBC 00466	NZ_CP107896.1	3692447	3698207	6.1607	1	1	1	1	GCF_041433995.1_ASM4143399v1_genomic.fna.gz	GCF_045162835.1_ASM4516283v1_genomic.fna.gz	redundant
Umezawaea beigongshangensis REN6	NZ_JAEIOJ010000008.1	269121	275984	7.1646	1	1	1	1	GCF_016464305.1_ASM1646430v1_genomic.fna.gz	GCF_016464305.1_ASM1646430v1_genomic.fna.gz	dereplication_representative
Streptomyces netropsis NPDC020778	NZ_JBIRTC010000012.1	98970	116653	7.1702	1	1	1	1	GCF_044334505.1_ASM4433450v1_genomic.fna.gz	GCF_044334505.1_ASM4433450v1_genomic.fna.gz	dereplication_representative
Streptomyces netropsis JCM 4063	NZ_BMRW01000002.1	737365	755049	7.1699	1	1	1	1	GCF_014648835.1_ASM1464883v1_genomic.fna.gz	GCF_014203545.1_ASM1420354v1_genomic.fna.gz	redundant
Streptomyces netropsis M-141	NZ_CP147867.1	1253503	1271178	7.17	1	1	1	1	GCF_037414505.1_Str_netropsis_B-235_v1_genomic.fna.gz	GCF_014203545.1_ASM1420354v1_genomic.fna.gz	redundant
Streptomyces netropsis CECT 3265	NZ_JACHJG010000011.1	83338	101022	7.1699	1	1	1	1	GCF_014203545.1_ASM1420354v1_genomic.fna.gz	GCF_014203545.1_ASM1420354v1_genomic.fna.gz	dereplication_representative
Saccharopolyspora oryzae WRP15-2	NZ_JAQGLA010000004.1	156797	160571	7.1632	1	1	1	1	GCF_027853915.1_ASM2785391v1_genomic.fna.gz	GCF_027853915.1_ASM2785391v1_genomic.fna.gz	dereplication_representative
Nocardia implantans CDC192	NZ_JAYESH010000009.1	302227	311521	6.1672	1	1	1	1	GCF_034720515.1_ASM3472051v1_genomic.fna.gz	GCF_044389845.1_ASM4438984v1_genomic.fna.gz	redundant
Nocardia implantans CDC186	NZ_JAYKYQ010000016.1	27082	36376	6.1672	1	1	1	1	GCF_035544775.1_ASM3554477v1_genomic.fna.gz	GCF_044389845.1_ASM4438984v1_genomic.fna.gz	redundant
Streptosporangium fragile JCM 6242	NZ_BAAAVI010000063.1	17802	20585	5.1096	0	1	1	1	GCF_039534445.1_ASM3953444v1_genomic.fna.gz	GCF_039534445.1_ASM3953444v1_genomic.fna.gz	dereplication_representative
Streptomyces cavourensis YBQ59	NZ_JASEND010000012.1	82274	102561	6.1588	1	1	1	1	GCF_030027225.1_ASM3002722v1_genomic.fna.gz	GCF_018619555.1_ASM1861955v1_genomic.fna.gz	redundant
Streptomyces cavourensis YBQ59	NZ_JASEND010000005.1	746926	750751	6.1402	1	1	1	1	GCF_030027225.1_ASM3002722v1_genomic.fna.gz	GCF_018619555.1_ASM1861955v1_genomic.fna.gz	redundant
Streptomyces cavourensis JCM 4298	NZ_BMSP01000032.1	3490	7314	6.1405	1	1	1	1	GCF_014649215.1_ASM1464921v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis 1AS2a	NZ_CP024957.1	4117247	4121071	6.1403	1	1	1	1	GCF_002804165.1_ASM280416v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis TJ430	NZ_CP030930.1	4142454	4146278	6.1403	1	1	1	1	GCF_003352445.1_ASM335244v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis 2BA6PG	NZ_CP101140.1	3498435	3502259	6.1403	1	1	1	1	GCF_024297125.1_ASM2429712v1_genomic.fna.gz	GCF_024297125.1_ASM2429712v1_genomic.fna.gz	dereplication_representative
Streptomyces cavourensis F2	NZ_CP101397.1	412070	415894	6.1403	1	1	1	1	GCF_024365045.1_ASM2436504v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis NA4	NZ_CP113262.1	4184605	4188429	6.1402	1	1	1	1	GCF_026642235.1_ASM2664223v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis A54	NZ_JAHHWT010000002.1	3506	7330	6.1403	1	1	1	1	GCF_019798105.1_ASM1979810v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis NEAU-CLG1	NZ_JBKFGC010000032.1	78426	82250	6.1403	1	1	1	1	GCF_046506605.1_ASM4650660v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces cavourensis DSM 41795	NZ_VFRC01000001.1	4146620	4150444	6.1405	1	1	1	1	GCF_006788935.1_ASM678893v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC007054	NZ_JBEYKV010000012.1	81394	101668	6.1587	1	1	1	1	GCF_040644955.1_ASM4064495v1_genomic.fna.gz	GCF_042749105.1_ASM4274910v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC006869	NZ_JBEYLB010000005.1	90639	110912	6.159	1	1	1	1	GCF_040635815.1_ASM4063581v1_genomic.fna.gz	GCF_042749105.1_ASM4274910v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC027993	NZ_JBFAFN010000005.1	97552	117826	6.159	1	1	1	1	GCF_040802035.1_ASM4080203v1_genomic.fna.gz	GCF_040802035.1_ASM4080203v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC056332	NZ_JBHJQY010000002.1	58868	79163	6.1589	1	1	1	1	GCF_042261605.1_ASM4226160v1_genomic.fna.gz	GCF_042261605.1_ASM4226160v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC057196	NZ_JBHUWF010000044.1	37138	57430	6.1589	1	1	1	1	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC057196	NZ_JBHUWF010000003.1	152206	156029	6.1402	1	1	1	1	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC057439	NZ_JBHVDE010000046.1	12472	32764	6.1589	1	1	1	1	GCF_042802935.1_ASM4280293v1_genomic.fna.gz	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC057439	NZ_JBHVDE010000039.1	39942	43765	6.1402	1	1	1	1	GCF_042802935.1_ASM4280293v1_genomic.fna.gz	GCF_042669445.1_ASM4266944v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC058707	NZ_JBHYRL010000012.1	81396	101671	6.159	1	1	1	1	GCF_042749105.1_ASM4274910v1_genomic.fna.gz	GCF_042749105.1_ASM4274910v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC058018	NZ_JBHVRE010000022.1	24145	44440	6.1585	1	1	1	1	GCF_042886015.1_ASM4288601v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC058522	NZ_JBHXNM010000065.1	2098	22393	6.1585	1	1	1	1	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC058543	NZ_JBHXOD010000009.1	94044	114339	6.1585	1	1	1	1	GCF_042718975.1_ASM4271897v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC058553	NZ_JBHXOL010000120.1	14007	18659	5.1518	1	1	1	0	GCF_042719095.1_ASM4271909v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	readded_by_content
Streptomyces bacillaris NPDC058555	NZ_JBHXON010000006.1	23651	43946	6.1585	1	1	1	1	GCF_042719055.1_ASM4271905v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC058578	NZ_JBHXPH010000057.1	24145	44440	6.1585	1	1	1	1	GCF_042718615.1_ASM4271861v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC058584	NZ_JBHXPM010000058.1	2098	22393	6.1585	1	1	1	1	GCF_042718455.1_ASM4271845v1_genomic.fna.gz	GCF_042719635.1_ASM4271963v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC088765	NZ_JBIVKR010000002.1	680518	697286	4.0835	1	0	1	1	GCF_044750885.1_ASM4475088v1_genomic.fna.gz	GCF_044750885.1_ASM4475088v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC088765	NZ_JBIVKR010000005.1	738849	742677	6.1401	1	1	1	1	GCF_044750885.1_ASM4475088v1_genomic.fna.gz	GCF_044750885.1_ASM4475088v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC096318	NZ_JBEOUV010000005.1	458374	475141	4.0833	1	0	1	1	GCF_040302925.1_ASM4030292v1_genomic.fna.gz	GCF_040302925.1_ASM4030292v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC096318	NZ_JBEOUV010000008.1	406428	410254	6.1402	1	1	1	1	GCF_040302925.1_ASM4030292v1_genomic.fna.gz	GCF_040302925.1_ASM4030292v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC060140	NZ_JBHWXW010000013.1	157244	174011	4.0832	1	0	1	1	GCF_042728905.1_ASM4272890v1_genomic.fna.gz	GCF_042729195.1_ASM4272919v1_genomic.fna.gz	readded_by_content
Streptomyces bacillaris NPDC060140	NZ_JBHWXW010000001.1	1655611	1659434	6.1402	1	1	1	1	GCF_042728905.1_ASM4272890v1_genomic.fna.gz	GCF_042729195.1_ASM4272919v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC060162	NZ_JBHWYL010000008.1	103109	106932	6.1402	1	1	1	1	GCF_042729195.1_ASM4272919v1_genomic.fna.gz	GCF_042729195.1_ASM4272919v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC060350	NZ_JBHXCU010000022.1	72525	76348	6.1402	1	1	1	1	GCF_042725425.1_ASM4272542v1_genomic.fna.gz	GCF_042729195.1_ASM4272919v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC096035	JBEOUX010000043.1	3521	7353	6.1405	1	1	1	1	GCA_040303325.1_ASM4030332v1_genomic.fna.gz	GCF_011055525.1_ASM1105552v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC004053	JBEXKP010000015.1	3800	7632	6.1405	1	1	1	1	GCA_040610535.1_ASM4061053v1_genomic.fna.gz	GCF_042802355.1_ASM4280235v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC101195	JBIWOR010000002.1	1042464	1046291	3.096	1	1	0	1	GCA_044767845.1_ASM4476784v1_genomic.fna.gz	GCF_009862145.1_ASM986214v1_genomic.fna.gz	readded_by_content
Streptomyces bacillaris NPDC000731	NZ_JBEPFV010000065.1	3527	7351	6.14	1	1	1	1	GCF_040299545.1_ASM4029954v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC000731	NZ_JBEPFV010000025.1	14078	21665	6.136	1	1	1	1	GCF_040299545.1_ASM4029954v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC004037	NZ_JBEXKQ010000073.1	30982	34806	6.1405	1	1	1	1	GCF_040610555.1_ASM4061055v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC006204	NZ_JBEXZG010000083.1	3508	7332	6.1403	1	1	1	1	GCF_040628715.1_ASM4062871v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC012424	NZ_JBEYKP010000033.1	3486	7310	6.1403	1	1	1	1	GCF_040633775.1_ASM4063377v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC052293	NZ_JBFBCU010000049.1	3503	7327	6.1403	1	1	1	1	GCF_040679305.1_ASM4067930v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC093019	NZ_JBFBNX010000037.1	72038	75862	6.1403	1	1	1	1	GCF_040684055.1_ASM4068405v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC085798	NZ_JBFBOD010000027.1	97576	101400	6.1403	1	1	1	1	GCF_040686275.1_ASM4068627v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC055940	NZ_JBHJYZ010000002.1	45150	48974	6.1398	1	1	1	1	GCF_042270685.1_ASM4227068v1_genomic.fna.gz	GCF_042673155.1_ASM4267315v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC055939	NZ_JBHJZA010000010.1	155683	159507	6.1398	1	1	1	1	GCF_042274585.1_ASM4227458v1_genomic.fna.gz	GCF_042673155.1_ASM4267315v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC057086	NZ_JBHUTO010000011.1	15823	19647	6.1403	1	1	1	1	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC057103	NZ_JBHUUA010000069.1	3486	7310	6.1403	1	1	1	1	GCF_042671225.1_ASM4267122v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC060305	NZ_JBHXBW010000045.1	53921	57745	6.1404	1	1	1	1	GCF_042725755.1_ASM4272575v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC127124	NZ_JBHXTS010000008.1	78599	82423	6.1398	1	1	1	1	GCF_042673155.1_ASM4267315v1_genomic.fna.gz	GCF_042673155.1_ASM4267315v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC127126	NZ_JBHXTU010000009.1	155671	159495	6.1398	1	1	1	1	GCF_042673045.1_ASM4267304v1_genomic.fna.gz	GCF_042673155.1_ASM4267315v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC127585	NZ_JBHXWC010000030.1	81056	84880	6.1404	1	1	1	1	GCF_042671915.1_ASM4267191v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC002068	NZ_JBIASK010000027.1	67574	71398	6.1405	1	1	1	1	GCF_042890815.1_ASM4289081v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC012641	NZ_JBIBDR010000003.1	558482	562306	6.14	1	1	1	1	GCF_042902065.1_ASM4290206v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC012440	NZ_JBIBET010000021.1	90854	94678	6.1403	1	1	1	1	GCF_042955285.1_ASM4295528v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC014641	NZ_JBIBZP010000010.1	234328	238152	6.14	1	1	1	1	GCF_043088065.1_ASM4308806v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC014632	NZ_JBIBZR010000010.1	94567	98391	6.14	1	1	1	1	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC014631	NZ_JBIBZS010000010.1	234166	237990	6.14	1	1	1	1	GCF_043088165.1_ASM4308816v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC013906	NZ_JBICAV010000001.1	109014	112838	6.1399	1	1	1	1	GCF_043089325.1_ASM4308932v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC086671	NZ_JBIVBK010000013.1	98043	101867	6.14	1	1	1	1	GCF_044746025.1_ASM4474602v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC092205	NZ_JBIVRF010000034.1	72038	75862	6.1403	1	1	1	1	GCF_044755525.1_ASM4475552v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC092035	NZ_JBIVSG010000032.1	3502	7326	6.1403	1	1	1	1	GCF_044756025.1_ASM4475602v1_genomic.fna.gz	GCF_042671325.1_ASM4267132v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC101131	NZ_JBIVYY010000022.1	25833	29657	6.1403	1	1	1	1	GCF_044759275.1_ASM4475927v1_genomic.fna.gz	GCF_044759275.1_ASM4475927v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC102280	NZ_JBIWLT010000002.1	108998	112822	6.14	1	1	1	1	GCF_044766305.1_ASM4476630v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC102280	NZ_JBIWLT010000018.1	33911	41498	6.1361	1	1	1	1	GCF_044766305.1_ASM4476630v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC101795	NZ_JBIWMN010000002.1	629791	633615	6.14	1	1	1	1	GCF_044766705.1_ASM4476670v1_genomic.fna.gz	GCF_043088185.1_ASM4308818v1_genomic.fna.gz	redundant
Streptomyces bacillaris NPDC101189	NZ_JBIWOV010000001.1	891633	895293	6.1435	1	1	1	1	GCF_044767875.1_ASM4476787v1_genomic.fna.gz	GCF_044767875.1_ASM4476787v1_genomic.fna.gz	dereplication_representative
Streptomyces bacillaris NPDC027865	NZ_JBFAFO010000031.1	38815	46401	6.1361	1	1	1	1	GCF_040637915.1_ASM4063791v1_genomic.fna.gz	GCF_040637915.1_ASM4063791v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. CFMR 7 DE0061	NZ_VEHK01000011.1	1395	21689	6.1587	1	1	1	1	GCF_007679945.1_ASM767994v1_genomic.fna.gz	GCF_007679945.1_ASM767994v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. CFMR 7 DE0061	NZ_VEHK01000003.1	3468	7291	6.1405	1	1	1	1	GCF_007679945.1_ASM767994v1_genomic.fna.gz	GCF_007679945.1_ASM767994v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. CFMR 7 CFMR-7	NZ_CP011522.1	3909543	3913366	6.1402	1	1	1	1	GCF_001278095.1_ASM127809v1_genomic.fna.gz	GCF_001278095.1_ASM127809v1_genomic.fna.gz	dereplication_representative
Goekera deserti CPCC 205251	NZ_JAABOZ010000001.1	287773	294660	7.1589	1	1	1	1	GCF_010077965.1_ASM1007796v1_genomic.fna.gz	GCF_009296285.1_ASM929628v1_genomic.fna.gz	redundant
Goekera deserti CPCC 205119	NZ_JAAGWK010000015.1	58702	65589	7.1589	1	1	1	1	GCF_010685995.1_ASM1068599v1_genomic.fna.gz	GCF_009296285.1_ASM929628v1_genomic.fna.gz	redundant
Goekera deserti CPCC 205215	NZ_WGGQ01000001.1	1021199	1028086	7.1589	1	1	1	1	GCF_009296285.1_ASM929628v1_genomic.fna.gz	GCF_009296285.1_ASM929628v1_genomic.fna.gz	dereplication_representative
Streptomyces silvisoli RB6PN23	NZ_JARJBC010000025.1	105510	123109	6.1545	1	1	1	1	GCF_029269905.1_ASM2926990v1_genomic.fna.gz	GCF_029269905.1_ASM2926990v1_genomic.fna.gz	dereplication_representative
Mycobacteroides sp. LB1	NZ_JACCFF010000001.1	2780	10612	6.1651	1	1	1	1	GCF_013449725.1_ASM1344972v1_genomic.fna.gz	GCF_013449725.1_ASM1344972v1_genomic.fna.gz	dereplication_representative
Mycobacterium sp. NPDC050853	NZ_JBFAGW010000004.1	2748	10580	6.1649	1	1	1	1	GCF_040653875.1_ASM4065387v1_genomic.fna.gz	GCF_013449725.1_ASM1344972v1_genomic.fna.gz	redundant
Mycobacterium sp. D16R24	NZ_MAEV01000018.1	108590	116422	6.1633	1	1	1	1	GCF_002013385.1_ASM201338v1_genomic.fna.gz	GCF_002013385.1_ASM201338v1_genomic.fna.gz	dereplication_representative
Mycobacterium sp. D16Q13	NZ_MAEW01000011.1	2645	10476	6.1633	1	1	1	1	GCF_002013375.1_ASM201337v1_genomic.fna.gz	GCF_002013375.1_ASM201337v1_genomic.fna.gz	dereplication_representative
