JSWS02000001.1	GCA_000772595.2
ABABDS010000001.1	GCA_018012395.1
ABABEI010000001.1	GCA_018012455.1
ABABDT010000001.1	GCA_018012475.1
ABABEE010000001.1	GCA_018012495.1
ABABEG010000001.1	GCA_018012535.1
ABABED010000001.1	GCA_018012555.1
ABABDX010000001.1	GCA_018012575.1
ABABEC010000001.1	GCA_018012595.1
ABABFK010000001.1	GCA_018012725.1
ABABPQ010000001.1	GCA_018024115.1
ABADHB010000001.1	GCA_018080825.1
ABADJU010000001.1	GCA_018081845.1
ABADJS010000001.1	GCA_018082005.1
ABADKS010000001.1	GCA_018082745.1
ABADKX010000001.1	GCA_018082785.1
ABAELF010000029.1	GCA_018102915.1
ABAELF010000006.1	GCA_018102915.1
ABAELM010000005.1	GCA_018103155.1
ABAEML010000009.1	GCA_018103355.1
ABAEMI010000025.1	GCA_018103435.1
ABAEMH010000007.1	GCA_018103615.1
ABAEMO010000004.1	GCA_018103635.1
ABAEMU010000020.1	GCA_018103675.1
ABAEMQ010000008.1	GCA_018103755.1
ABAENI010000061.1	GCA_018103895.1
ABAENC010000026.1	GCA_018104005.1
ABAEND010000004.1	GCA_018104055.1
ABAENA010000007.1	GCA_018104075.1
ABAENR010000011.1	GCA_018104215.1
ABAENW010000025.1	GCA_018104595.1
ABAERJ010000001.1	GCA_018106885.1
ABAEZA010000023.1	GCA_018112765.1
ABAEYY010000013.1	GCA_018112785.1
ABAFHI010000001.1	GCA_018117325.1
ABAFJS010000001.1	GCA_018119755.1
ABAFJX010000001.1	GCA_018121335.1
ABAFKC010000001.1	GCA_018121445.1
ABAFKH010000001.1	GCA_018121765.1
ABAFLI010000001.1	GCA_018123505.1
ABAFLV010000001.1	GCA_018123525.1
ABAFMB010000001.1	GCA_018123725.1
ABAFMF010000001.1	GCA_018123785.1
ABAFOR010000001.1	GCA_018126165.1
ABAFPE010000001.1	GCA_018126245.1
ABAFQQ010000001.1	GCA_018131605.1
ABAFQN010000001.1	GCA_018131705.1
ABAFQR010000001.1	GCA_018131725.1
ABAFRC010000001.1	GCA_018131855.1
ABAFRH010000001.1	GCA_018131885.1
ABAFRA010000001.1	GCA_018131895.1
ABAFRG010000001.1	GCA_018131985.1
ABAFRO010000001.1	GCA_018132205.1
ABAFWJ010000001.1	GCA_018135245.1
DADYLI010000004.1	GCA_018145415.1
DADYMT010000004.1	GCA_018147195.1
DADYMW010000004.1	GCA_018147255.1
DADYQL010000038.1	GCA_018150195.1
DADYRV010000005.1	GCA_018151225.1
DADZPC010000003.1	GCA_018165155.1
DADZPL010000001.1	GCA_018165395.1
ABAGGE010000001.1	GCA_018171735.1
ABAGMS010000001.1	GCA_018176935.1
ABAHRR010000002.1	GCA_018201005.1
ABAHWG010000001.1	GCA_018208115.1
ABAHZV010000002.1	GCA_018216775.1
ABAIHK010000100.1	GCA_018222285.1
ABAIHK010000046.1	GCA_018222285.1
ABAIIC010000018.1	GCA_018225565.1
ABAIIM010000001.1	GCA_018225725.1
ABAIIN010000001.1	GCA_018225765.1
ABAIJA010000001.1	GCA_018225785.1
ABAIJB010000001.1	GCA_018225825.1
ABAIJP010000001.1	GCA_018225925.1
ABAIJG010000001.1	GCA_018225965.1
ABAIQR010000001.1	GCA_018243035.1
ABAIQP010000001.1	GCA_018243075.1
ABAIQV010000001.1	GCA_018243105.1
ABAIQS010000001.1	GCA_018243135.1
ABAIQT010000001.1	GCA_018243175.1
ABAIQX010000001.1	GCA_018243375.1
ABAIRC010000001.1	GCA_018243395.1
ABAIRA010000001.1	GCA_018243415.1
ABAISI010000001.1	GCA_018244135.1
ABAIUV010000001.1	GCA_018254595.1
ABAJQJ010000042.1	GCA_018280825.1
ABAJXJ010000003.1	GCA_018285275.1
ABAKAX010000001.1	GCA_018286755.1
ABAKAV010000001.1	GCA_018286775.1
ABAKAS010000001.1	GCA_018286855.1
ABAKAQ010000001.1	GCA_018286875.1
ABAKAP010000001.1	GCA_018286895.1
ABAKAD010000001.1	GCA_018286915.1
ABAKAE010000001.1	GCA_018286935.1
ABAKAF010000001.1	GCA_018286955.1
ABAKAB010000001.1	GCA_018286975.1
ABAKAU010000001.1	GCA_018287015.1
ABAKAM010000001.1	GCA_018287075.1
ABAKAH010000001.1	GCA_018287115.1
ABAKAL010000001.1	GCA_018287155.1
ABAKBD010000001.1	GCA_018287215.1
ABAKBA010000001.1	GCA_018287235.1
ABAKBW010000001.1	GCA_018287315.1
ABAKBT010000001.1	GCA_018287375.1
ABAKBP010000001.1	GCA_018287415.1
ABAKEA010000086.1	GCA_018289115.1
ABAKFR010000001.1	GCA_018289595.1
DAEASK010000008.1	GCA_018293125.1
DAEASO010000038.1	GCA_018293325.1
DAEASS010000002.1	GCA_018293365.1
ABAKVD010000001.1	GCA_018301605.1
ABAKZP010000001.1	GCA_018310795.1
ABALDC010000001.1	GCA_018313075.1
ABALOM010000001.1	GCA_018353135.1
ABALOK010000001.1	GCA_018353235.1
ABALXP010000001.1	GCA_018361475.1
ABALYN010000001.1	GCA_018361975.1
ABAMCH010000001.1	GCA_018386785.1
ABAMCI010000001.1	GCA_018386805.1
ABAMCJ010000001.1	GCA_018386835.1
ABAMPD010000001.1	GCA_018403895.1
ABAMSJ010000001.1	GCA_018406245.1
ABAMZJ010000001.1	GCA_018414085.1
ABAMZV010000001.1	GCA_018414165.1
ABAMZY010000001.1	GCA_018414185.1
ABANDH010000001.1	GCA_018416075.1
ABANFA010000036.1	GCA_018417335.1
ABANEZ010000001.1	GCA_018417415.1
ABANFK010000080.1	GCA_018417815.1
ABANFP010000001.1	GCA_018417855.1
ABANGB010000001.1	GCA_018425245.1
ABANIR010000008.1	GCA_018435365.1
ABANVO010000006.1	GCA_018461765.1
ABANVN010000001.1	GCA_018461785.1
ABAOCX010000001.1	GCA_018473925.1
ABAOKF010000001.1	GCA_018480625.1
ABAOKJ010000003.1	GCA_018480645.1
ABAOOA010000029.1	GCA_018482885.1
ABAOOA010000012.1	GCA_018482885.1
ABAOSY010000030.1	GCA_018485745.1
ABAPGP010000001.1	GCA_018502755.1
ABAPGY010000001.1	GCA_018503105.1
ABAPSK010000001.1	GCA_018523865.1
ABAPRN010000001.1	GCA_018524005.1
ABAPRS010000001.1	GCA_018524025.1
ABAPXI010000001.1	GCA_018532565.1
ABAPWX010000001.1	GCA_018532605.1
ABAPXV010000001.1	GCA_018532765.1
ABAPXP010000001.1	GCA_018532905.1
ABAPYI010000001.1	GCA_018533165.1
ABAPZJ010000001.1	GCA_018533675.1
ABAPZU010000001.1	GCA_018534065.1
ABAQAZ010000001.1	GCA_018534465.1
ABAQBD010000001.1	GCA_018534505.1
ABAQAV010000001.1	GCA_018534525.1
ABAQAU010000001.1	GCA_018534605.1
ABAQBI010000001.1	GCA_018534765.1
ABAQBN010000001.1	GCA_018534825.1
ABAQBA010000001.1	GCA_018534845.1
ABAQEU010000001.1	GCA_018536805.1
ABAQFZ010000001.1	GCA_018536865.1
ABAQFK010000001.1	GCA_018536925.1
ABAQFO010000001.1	GCA_018536965.1
ABAQFV010000001.1	GCA_018537105.1
ABAQGJ010000001.1	GCA_018537265.1
ABAQGP010000001.1	GCA_018537465.1
ABAQHA010000001.1	GCA_018537565.1
ABAQGT010000001.1	GCA_018537725.1
ABAQGR010000001.1	GCA_018537745.1
ABAQHE010000001.1	GCA_018537905.1
ABAQIY010000001.1	GCA_018538745.1
ABAQKD010000001.1	GCA_018547085.1
ABAQOI010000001.1	GCA_018559145.1
ABAQSQ010000001.1	GCA_018574005.1
ABAQTT010000012.1	GCA_018574725.1
ABAQVS010000001.1	GCA_018576105.1
ABAQWW010000001.1	GCA_018576545.1
DAEGIZ010000004.1	GCA_018586645.1
DAEGJM010000001.1	GCA_018586685.1
DAEGSN010000038.1	GCA_018602835.1
DAEGTB010000023.1	GCA_018603035.1
ABARFV010000005.1	GCA_018621635.1
ABARIC010000001.1	GCA_018622915.1
ABARJP010000012.1	GCA_018624615.1
DAEHDV010000001.1	GCA_018626455.1
DAEHDU010000001.1	GCA_018626475.1
DAEHDY010000001.1	GCA_018626495.1
DAEHDW010000001.1	GCA_018626515.1
DAEHDX010000001.1	GCA_018626535.1
DAEHDZ010000001.1	GCA_018626675.1
ABASGK010000019.1	GCA_018726525.1
ABASGL010000021.1	GCA_018726645.1
ABASME010000045.1	GCA_018748925.1
ABASOP010000017.1	GCA_018750235.1
ABASPK010000001.1	GCA_018750415.1
ABASQC010000001.1	GCA_018751035.1
ABASRW010000001.1	GCA_018751795.1
ABASRV010000001.1	GCA_018751815.1
ABASRZ010000001.1	GCA_018751975.1
ABASSI010000001.1	GCA_018752135.1
ABASSK010000001.1	GCA_018752175.1
ABASST010000001.1	GCA_018752275.1
ABASSX010000001.1	GCA_018752295.1
ABASSU010000001.1	GCA_018752335.1
ABASSW010000001.1	GCA_018752475.1
ABASTK010000001.1	GCA_018752675.1
ABASTS010000001.1	GCA_018752955.1
ABASUG010000001.1	GCA_018753155.1
ABASUK010000001.1	GCA_018753315.1
ABASYD010000001.1	GCA_018769845.1
ABATIL010000072.1	GCA_018775485.1
ABATOJ010000001.1	GCA_018800285.1
DAEMQD010000032.1	GCA_018811265.1
ABAUNU010000001.1	GCA_018838815.1
ABAUOG010000001.1	GCA_018838835.1
ABAUOJ010000001.1	GCA_018838915.1
ABAUOL010000001.1	GCA_018838995.1
ABAUPL010000001.1	GCA_018839355.1
ABAUPM010000001.1	GCA_018839515.1
ABAUPP010000001.1	GCA_018839675.1
ABAUQG010000002.1	GCA_018839795.1
ABAURA010000001.1	GCA_018840315.1
ABAUQY010000001.1	GCA_018840355.1
ABAVJO010000001.1	GCA_018869365.1
ABAVJN010000001.1	GCA_018869385.1
ABAVJR010000001.1	GCA_018869485.1
ABAVJW010000001.1	GCA_018869545.1
ABAVJV010000001.1	GCA_018869565.1
ABAVJT010000001.1	GCA_018869585.1
ABAVJX010000001.1	GCA_018869605.1
ABAVKA010000001.1	GCA_018869645.1
ABAVYV010000102.1	GCA_018889855.1
ABAVZH010000036.1	GCA_018890175.1
ABAWFG010000001.1	GCA_018921205.1
DAEPAL010000001.1	GCA_018921665.1
DAEPAR010000001.1	GCA_018921785.1
DAEPDU010000009.1	GCA_018923445.1
ABAWGH010000001.1	GCA_018925055.1
ABAWKE010000001.1	GCA_018932835.1
ABAWKY010000001.1	GCA_018933255.1
ABAWLI010000001.1	GCA_018933695.1
ABAWLJ010000001.1	GCA_018933715.1
ABAWLG010000001.1	GCA_018933735.1
ABAWLL010000001.1	GCA_018933795.1
ABAWLM010000001.1	GCA_018933835.1
ABAWLS010000001.1	GCA_018934055.1
ABAWMM010000001.1	GCA_018934385.1
ABAWMP010000001.1	GCA_018934435.1
ABAWMW010000001.1	GCA_018934575.1
ABAWMY010000001.1	GCA_018934615.1
ABAWNC010000001.1	GCA_018934715.1
ABAWNL010000001.1	GCA_018934895.1
ABAWSZ010000012.1	GCA_018939535.1
ABAWTP010000001.1	GCA_018939755.1
ABAWUN010000001.1	GCA_018940255.1
ABAWVV010000001.1	GCA_018944095.1
ABAWWO010000001.1	GCA_018944455.1
ABAWWY010000009.1	GCA_018944655.1
ABAWXH010000001.1	GCA_018944835.1
ABAWXP010000001.1	GCA_018944855.1
ABAWXF010000005.1	GCA_018944875.1
ABAWXK010000001.1	GCA_018944895.1
ABAWXL010000001.1	GCA_018944915.1
ABAWXG010000001.1	GCA_018944955.1
ABAWXU010000001.1	GCA_018945055.1
ABAWXY010000001.1	GCA_018945095.1
ABAWXR010000001.1	GCA_018945155.1
ABAWYB010000001.1	GCA_018945235.1
ABAWYC010000001.1	GCA_018945255.1
ABAWYI010000001.1	GCA_018945295.1
ABAWYE010000001.1	GCA_018945335.1
ABAWYO010000001.1	GCA_018945515.1
ABAWYX010000001.1	GCA_018945555.1
ABAWYV010000001.1	GCA_018945575.1
ABAWYR010000001.1	GCA_018945695.1
ABAWZB010000001.1	GCA_018945715.1
ABAWZC010000001.1	GCA_018945775.1
ABAWZD010000001.1	GCA_018945795.1
ABAWZJ010000001.1	GCA_018945895.1
ABAWZM010000001.1	GCA_018949835.1
ABAWZW010000001.1	GCA_018949875.1
ABAXIF010000001.1	GCA_018956415.1
ABAXIS010000004.1	GCA_018956835.1
ABAXKB010000001.1	GCA_018958055.1
ABAXKD010000001.1	GCA_018958075.1
ABAXKC010000001.1	GCA_018958095.1
ABAXJY010000001.1	GCA_018958115.1
ABAXKE010000001.1	GCA_018958135.1
ABAXKF010000002.1	GCA_018958155.1
ABAXOK010000001.1	GCA_018963075.1
ABAXOM010000001.1	GCA_018963115.1
ABAXOQ010000001.1	GCA_018963155.1
ABAXON010000006.1	GCA_018963195.1
ABAXOP010000001.1	GCA_018963235.1
ABAXOR010000001.1	GCA_018963255.1
ABAXOX010000001.1	GCA_018963375.1
ABAXPD010000001.1	GCA_018963415.1
ABAXPB010000001.1	GCA_018963455.1
ABAXOZ010000001.1	GCA_018963475.1
ABAXSE010000015.1	GCA_018972705.1
ABAXXA010000001.1	GCA_018975705.1
ABAXZU010000042.1	GCA_018977145.1
ABAXZU010000038.1	GCA_018977145.1
ABAYTA010000001.1	GCA_018992505.1
ABAYSY010000001.1	GCA_018992585.1
ABAYSX010000001.1	GCA_018992725.1
ABAYWW010000002.1	GCA_018996225.1
ABAZCT010000001.1	GCA_019004145.1
ABAZUK010000001.1	GCA_019022005.1
ABAZXR010000001.1	GCA_019024925.1
ABAZXO010000007.1	GCA_019024945.1
ABAZXT010000001.1	GCA_019024985.1
ABAZXM010000001.1	GCA_019025005.1
ABAZXL010000001.1	GCA_019025065.1
ABAZXJ010000001.1	GCA_019025085.1
ABAZXN010000001.1	GCA_019025105.1
ABAZXS010000001.1	GCA_019025135.1
ABAZYF010000001.1	GCA_019025305.1
ABAZXX010000001.1	GCA_019025345.1
ABAZYH010000001.1	GCA_019025405.1
ABAZYL010000001.1	GCA_019025505.1
ABAZYI010000001.1	GCA_019025545.1
ABAZYJ010000001.1	GCA_019025585.1
ABBADB010000086.1	GCA_019043585.1
ABBADS010000001.1	GCA_019043785.1
ABBAEP010000001.1	GCA_019044365.1
ABBAFA010000001.1	GCA_019044625.1
ABBAGU010000014.1	GCA_019045545.1
ABBAJT010000001.1	GCA_019047365.1
ABBARV010000001.1	GCA_019062125.1
ABBAUJ010000001.1	GCA_019063305.1
ABBAYV010000038.1	GCA_019065745.1
ABBBAZ010000092.1	GCA_019066905.1
ABBBBC010000001.1	GCA_019066925.1
ABBBDJ010000001.1	GCA_019068225.1
ABBBFJ010000001.1	GCA_019069305.1
ABBBIB010000001.1	GCA_019076105.1
ABBBQD010000001.1	GCA_019080215.1
ABBCAK010000001.1	GCA_019086425.1
ABBCAJ010000001.1	GCA_019086445.1
ABBCPP010000001.1	GCA_019106765.1
ABBCPN010000001.1	GCA_019106785.1
ABBCQC010000002.1	GCA_019106805.1
ABBCPY010000001.1	GCA_019106845.1
ABBCQA010000001.1	GCA_019106865.1
ABBCPZ010000001.1	GCA_019106885.1
ABBCQB010000002.1	GCA_019106905.1
ABBCPW010000001.1	GCA_019106925.1
ABBCSS010000001.1	GCA_019108405.1
ABBCTI010000008.1	GCA_019108685.1
ABBCZK010000001.1	GCA_019111865.1
ABBDKR010000029.1	GCA_019140315.1
ABBDQE010000001.1	GCA_019143845.1
ABBDXU010000017.1	GCA_019151325.1
ABBDXQ010000001.1	GCA_019151385.1
ABBDXS010000002.1	GCA_019151395.1
ABBDXW010000015.1	GCA_019151445.1
ABBDXT010000016.1	GCA_019151465.1
ABBEPN010000018.1	GCA_019161015.1
ABBEQT010000009.1	GCA_019161635.1
ABBEQT010000014.1	GCA_019161635.1
ABBETN010000001.1	GCA_019168365.1
ABBETP010000001.1	GCA_019168465.1
ABBETT010000001.1	GCA_019168485.1
ABBETO010000002.1	GCA_019168505.1
ABBETM010000003.1	GCA_019168525.1
ABBETU010000018.1	GCA_019168545.1
ABBETV010000027.1	GCA_019168565.1
ABBETS010000018.1	GCA_019168585.1
ABBEUH010000001.1	GCA_019168605.1
ABBEUJ010000001.1	GCA_019168665.1
ABBEUE010000019.1	GCA_019168725.1
ABBFMB010000002.1	GCA_019181135.1
ABBFQH010000001.1	GCA_019183625.1
ABBGCL010000001.1	GCA_019194955.1
ABBGCJ010000001.1	GCA_019195015.1
ABBGCI010000001.1	GCA_019195035.1
ABBGCK010000001.1	GCA_019195075.1
ABBGCD010000001.1	GCA_019195115.1
ABBGCN010000001.1	GCA_019195135.1
ABBGEW010000001.1	GCA_019196515.1
ABBGNK010000101.1	GCA_019203885.1
ABBGNN010000029.1	GCA_019204105.1
ABBGRA010000001.1	GCA_019205845.1
ABBGRZ010000066.1	GCA_019206485.1
ABBGSE010000001.1	GCA_019206505.1
ABBGVK010000080.1	GCA_019209385.1
ABBGVL010000082.1	GCA_019209425.1
ABBHEV010000015.1	GCA_019217825.1
ABBHFH010000033.1	GCA_019218185.1
ABBIES010000001.1	GCA_019253345.1
ABBIIZ010000002.1	GCA_019255645.1
ABBISA010000001.1	GCA_019262085.1
ABBIUU010000001.1	GCA_019263465.1
ABBIUS010000001.1	GCA_019263485.1
ABBIVJ010000001.1	GCA_019264195.1
ABBIVV010000001.1	GCA_019266795.1
ABBIZR010000001.1	GCA_019268855.1
ABBJAK010000004.1	GCA_019269555.1
ABBJAN010000001.1	GCA_019269695.1
ABBJAR010000001.1	GCA_019269735.1
ABBJAW010000001.1	GCA_019269835.1
ABBJAX010000001.1	GCA_019269875.1
ABBJBU010000001.1	GCA_019270735.1
ABBJEE010000001.1	GCA_019273155.1
ABBJEI010000001.1	GCA_019273215.1
ABBJJI010000001.1	GCA_019276115.1
ABBJTR010000001.1	GCA_019286215.1
ABBJTZ010000023.1	GCA_019286435.1
ABBKPR010000001.1	GCA_019301355.1
ABBKSY010000001.1	GCA_019303015.1
ABBLGR010000001.1	GCA_019323095.1
ABBLGU010000001.1	GCA_019323375.1
ABBLGW010000001.1	GCA_019323635.1
ABBLGO010000001.1	GCA_019323875.1
ABBLGP010000001.1	GCA_019323915.1
ABBLHP010000001.1	GCA_019324155.1
ABBLHS010000001.1	GCA_019324215.1
ABBLHT010000001.1	GCA_019324235.1
ABBLHR010000001.1	GCA_019324255.1
ABBLHV010000001.1	GCA_019324355.1
ABBLIA010000001.1	GCA_019324395.1
ABBLIP010000001.1	GCA_019324795.1
ABBLOH010000051.1	GCA_019329305.1
ABBLOH010000053.1	GCA_019329305.1
ABBLOG010000040.1	GCA_019329345.1
ABBLOJ010000043.1	GCA_019329445.1
ABBLOM010000065.1	GCA_019329885.1
ABBLOM010000054.1	GCA_019329885.1
ABBLPP010000001.1	GCA_019330605.1
ABBLPQ010000001.1	GCA_019330625.1
ABBLRJ010000001.1	GCA_019331585.1
ABBLSB010000001.1	GCA_019332585.1
ABBLTP010000001.1	GCA_019333215.1
ABBLYX010000001.1	GCA_019339605.1
ABBMFV010000001.1	GCA_019343775.1
ABBMMN010000001.1	GCA_019353095.1
ABBMNU010000001.1	GCA_019353775.1
ABBNUW010000072.1	GCA_019390335.1
ABBNWA010000001.1	GCA_019390815.1
ABBNWI010000001.1	GCA_019391075.1
ABBNWM010000001.1	GCA_019391175.1
ABBNWQ010000001.1	GCA_019392355.1
ABBNYL010000001.1	GCA_019393295.1
ABBOBG010000001.1	GCA_019403365.1
ABBOBT010000002.1	GCA_019403465.1
ABBOBV010000003.1	GCA_019403505.1
ABBOBS010000003.1	GCA_019403565.1
ABBOJC010000001.1	GCA_019407745.1
ABBOJV010000001.1	GCA_019410035.1
ABBOJT010000001.1	GCA_019410075.1
ABBOKA010000003.1	GCA_019413355.1
ABBOLX010000001.1	GCA_019437245.1
ABBORC010000001.1	GCA_019439585.1
ABBPCF010000001.1	GCA_019454305.1
ABBPHA010000001.1	GCA_019462575.1
ABBPHB010000001.1	GCA_019462655.1
ABBPHG010000001.1	GCA_019462675.1
ABBPHF010000001.1	GCA_019462695.1
ABBPHS010000001.1	GCA_019462855.1
ABBPHN010000001.1	GCA_019462875.1
ABBPHM010000023.1	GCA_019462955.1
ABBPHJ010000001.1	GCA_019462995.1
ABBPHW010000001.1	GCA_019463035.1
ABBPHY010000001.1	GCA_019463095.1
ABBPIA010000001.1	GCA_019463215.1
ABBPKS010000001.1	GCA_019464835.1
ABBPLB010000001.1	GCA_019464855.1
ABBQTE010000001.1	GCA_019484005.1
ABBQWR010000001.1	GCA_019485825.1
ABBQXZ010000001.1	GCA_019486385.1
ABBQXY010000001.1	GCA_019486425.1
ABBQYD010000001.1	GCA_019486585.1
ABBQZS010000001.1	GCA_019487305.1
ABBRBN010000001.1	GCA_019488245.1
ABBRBT010000026.1	GCA_019488385.1
ABBRCA010000001.1	GCA_019488465.1
ABBRFS010000003.1	GCA_019490385.1
ABBRKD010000003.1	GCA_019493005.1
ABBRXS010000001.1	GCA_019500165.1
ABBRYP010000001.1	GCA_019500505.1
ABBSFR010000001.1	GCA_019504525.1
ABBSLL010000025.1	GCA_019507545.1
ABBTEF010000001.1	GCA_019524985.1
ABBTES010000001.1	GCA_019525225.1
ABBTFC010000014.1	GCA_019525345.1
ABBTFL010000001.1	GCA_019525475.1
ABBTFF010000001.1	GCA_019525535.1
ABBTFH010000088.1	GCA_019525575.1
ABBTFI010000019.1	GCA_019525595.1
ABBTFK010000001.1	GCA_019525615.1
ABBTGB010000016.1	GCA_019525935.1
ABBTGM010000001.1	GCA_019525975.1
ABBTGF010000002.1	GCA_019526095.1
ABBTHC010000002.1	GCA_019526475.1
ABBTHD010000002.1	GCA_019526485.1
ABBTHR010000001.1	GCA_019526775.1
ABBTHZ010000002.1	GCA_019526955.1
ABBTIG010000001.1	GCA_019527055.1
ABBTIO010000002.1	GCA_019527275.1
ABBTJR010000024.1	GCA_019527815.1
ABBTJQ010000027.1	GCA_019527855.1
ABBTKM010000015.1	GCA_019528255.1
ABBTLH010000031.1	GCA_019528615.1
ABBTLG010000007.1	GCA_019528655.1
ABBTLO010000001.1	GCA_019528795.1
ABBTLP010000001.1	GCA_019528835.1
ABBTMA010000022.1	GCA_019528995.1
ABBTMF010000027.1	GCA_019529195.1
ABBTMI010000003.1	GCA_019529235.1
ABBTNX010000001.1	GCA_019530015.1
ABBTOB010000001.1	GCA_019530055.1
ABBTOM010000065.1	GCA_019530255.1
ABBTOK010000001.1	GCA_019530335.1
ABBTOT010000001.1	GCA_019530435.1
ABBTOU010000008.1	GCA_019530545.1
ABBTPM010000001.1	GCA_019530725.1
ABBTPG010000036.1	GCA_019530845.1
ABBTPN010000001.1	GCA_019530885.1
ABBUPG010000001.1	GCA_019544475.1
ABBUZS010000001.1	GCA_019549935.1
ABBVLB010000001.1	GCA_019556715.1
ABBVMH010000020.1	GCA_019557455.1
ABBVNJ010000001.1	GCA_019557815.1
ABBVRF010000001.1	GCA_019559995.1
ABBVRE010000001.1	GCA_019560035.1
ABBVRQ010000001.1	GCA_019560235.1
ABBVUH010000001.1	GCA_019561635.1
ABBWKI010000001.1	GCA_019570755.1
ABBWUO010000001.1	GCA_019576335.1
ABBXPN010000001.1	GCA_019591985.1
ABBYCP010000001.1	GCA_019600855.1
ABBYDA010000001.1	GCA_019601015.1
ABBYEW010000006.1	GCA_019601935.1
ABBYJP010000001.1	GCA_019640715.1
ABBYJQ010000001.1	GCA_019640875.1
ABBYQK010000001.1	GCA_019646195.1
ABBYQT010000001.1	GCA_019646215.1
ABBYQN010000005.1	GCA_019646235.1
ABBYQQ010000001.1	GCA_019646315.1
ABBYQS010000001.1	GCA_019646335.1
ABBYQO010000001.1	GCA_019646355.1
ABBYQP010000001.1	GCA_019646375.1
ABBYRB010000001.1	GCA_019646455.1
ABBYSK010000001.1	GCA_019647255.1
ABBYSP010000001.1	GCA_019647275.1
ABBYSN010000001.1	GCA_019647295.1
ABBYSO010000001.1	GCA_019647355.1
ABBYSL010000001.1	GCA_019647375.1
ABBYSX010000001.1	GCA_019647415.1
ABBYSW010000001.1	GCA_019647435.1
ABBYSY010000001.1	GCA_019647455.1
ABBYSZ010000001.1	GCA_019647475.1
ABBYSV010000001.1	GCA_019647495.1
ABBYTW010000001.1	GCA_019647895.1
ABBYTZ010000001.1	GCA_019648055.1
ABBYUC010000001.1	GCA_019648075.1
ABBYUH010000001.1	GCA_019648195.1
ABBZGY010000001.1	GCA_019665165.1
ABBZHQ010000007.1	GCA_019665485.1
ABBZOP010000024.1	GCA_019669585.1
ABBZPD010000001.1	GCA_019674025.1
ABBZPC010000001.1	GCA_019674045.1
ABBZPB010000001.1	GCA_019674075.1
ABBZPE010000001.1	GCA_019674235.1
ABBZPG010000001.1	GCA_019674305.1
ABBZUR010000001.1	GCA_019680615.1
ABBZVI010000056.1	GCA_019680955.1
ABCACP010000001.1	GCA_019692455.1
ABCACQ010000002.1	GCA_019692475.1
ABCARU010000001.1	GCA_019706075.1
ABCATO010000001.1	GCA_019706895.1
ABCATW010000001.1	GCA_019707295.1
ABCBBD010000001.1	GCA_019720275.1
ABCBBO010000001.1	GCA_019720375.1
ABCBBR010000005.1	GCA_019720395.1
ABCBEB010000033.1	GCA_019722445.1
ABCBRZ010000001.1	GCA_019729655.1
ABCBSG010000001.1	GCA_019729675.1
ABCBSE010000001.1	GCA_019729695.1
ABCBSD010000001.1	GCA_019729735.1
ABCBRW010000001.1	GCA_019729775.1
ABCBSB010000001.1	GCA_019729795.1
ABCBSC010000001.1	GCA_019729815.1
ABCBRX010000001.1	GCA_019729835.1
ABCBSI010000001.1	GCA_019729875.1
ABCBSJ010000001.1	GCA_019730015.1
ABCBTO010000001.1	GCA_019730755.1
ABCBTG010000001.1	GCA_019730795.1
ABCBTH010000001.1	GCA_019730835.1
ABCBTL010000001.1	GCA_019730915.1
ABCBTN010000001.1	GCA_019730935.1
ABCBUZ010000007.1	GCA_019735595.1
ABCBVA010000006.1	GCA_019735645.1
ABCBVK010000020.1	GCA_019735715.1
ABCBVM010000023.1	GCA_019735775.1
ABCBVN010000001.1	GCA_019735855.1
ABCBVX010000015.1	GCA_019735935.1
ABCBVX010000019.1	GCA_019735935.1
ABCCBO010000001.1	GCA_019738915.1
ABCCPC010000001.1	GCA_019752395.1
ABCCUY010000001.1	GCA_019759975.1
ABCCVN010000001.1	GCA_019760315.1
ABCCYO010000018.1	GCA_019772395.1
ABCCYU010000007.1	GCA_019772495.1
ABCCZA010000047.1	GCA_019772675.1
ABCCZQ010000041.1	GCA_019772775.1
ABCCZM010000035.1	GCA_019772955.1
ABCCZZ010000032.1	GCA_019773075.1
ABCCZY010000003.1	GCA_019773115.1
ABCDAC010000005.1	GCA_019773175.1
ABCDAV010000031.1	GCA_019773455.1
ABCDTC010000001.1	GCA_019790615.1
ABCDTB010000001.1	GCA_019790635.1
ABCDSZ010000043.1	GCA_019790655.1
ABCDTD010000014.1	GCA_019790675.1
ABCDXG010000001.1	GCA_019792775.1
ABCDYR010000009.1	GCA_019796765.1
ABCDZI010000001.1	GCA_019796905.1
ABCDZH010000006.1	GCA_019796915.1
ABCEDC010000001.1	GCA_019804345.1
ABCEKS010000001.1	GCA_019805565.1
ABCEKT010000001.1	GCA_019807695.1
ABCEEQ010000001.1	GCA_019809635.1
ABCESG010000001.1	GCA_019815445.1
ABCESJ010000001.1	GCA_019815505.1
ABCESS010000014.1	GCA_019815615.1
ABCETL010000001.1	GCA_019816125.1
ABCETM010000012.1	GCA_019816165.1
ABCEUD010000001.1	GCA_019816745.1
ABCEUE010000001.1	GCA_019816785.1
ABCEUF010000001.1	GCA_019816835.1
ABCEUJ010000001.1	GCA_019816885.1
ABCEUL010000001.1	GCA_019816905.1
ABCEUN010000001.1	GCA_019817005.1
ABCEUM010000001.1	GCA_019817025.1
ABCEVD010000010.1	GCA_019817305.1
ABCEVA010000001.1	GCA_019817325.1
