Organism                                                      Scaffold              Start    End      Score  LMOf2365_1112  LMOf2365_1113  LMOf2365_1114  LMOf2365_1115  LMOf2365_1116  LMOf2365_1117  LMOf2365_1118  LMOf2365_1119
Actinomyces naeslundii T23P-1                                 NZ_MSRM01000009.1     53880    58929    8.10   0              1              1              1              1              0              1              0            
Actinomyces naeslundii S44D                                   NZ_MSRO01000002.1     34723    36685    5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii R24330                                 NZ_MSRQ01000012.1     107787   109749   5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii S43L                                   NZ_MSRP01000003.1     118966   124015   8.10   0              1              1              1              1              0              1              0            
Actinomyces naeslundii MB-1                                   NZ_MSRS01000011.1     136836   138798   5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii CCUG 35334                             NZ_MSRU01000016.1     5512     10561    8.10   0              1              1              1              1              0              1              0            
Actinomyces naeslundii S65A                                   NZ_MSRN01000002.1     47808    52857    8.10   0              1              1              1              1              0              1              0            
Actinomyces naeslundii G127B                                  NZ_MSRT01000011.1     31305    36354    8.10   0              1              1              1              1              0              1              0            
Enterococcus durans FDAARGOS_396                              NZ_PDEB01000002.1     12599    15403    5.13   0              0              0              0              0              1              1              1            
Enterococcus durans ATCC 6056                                 NZ_KE136371.1         2812     8470     13.26  0              1              1              1              1              1              1              1            
Heyndrickxia coagulans LA204                                  NZ_CP025437.1         97383    102986   13.18  0              1              1              1              1              1              1              1            
Bombilactobacillus bombi LV-8.1                               QOCS01000020.1        1431     7001     10.15  0              1              1              0              1              1              1              1            
Staphylococcus argenteus PR02                                 NZ_KZ984531.1         902103   907716   10.15  0              1              1              0              1              1              1              1            
Staphylococcus argenteus 230-0                                JAJAGR010000001.1     457964   462988   8.14   0              1              1              0              1              1              1              0            
Staphylococcus argenteus                                      NZ_FXVM01000073.1     370      3862     6.09   0              1              1              0              1              1              0              0            
Vagococcus acidifermentans LMG 24798                          NZ_NGKC01000029.1     244      3953     9.17   0              1              1              1              1              1              0              0            
Sporolactobacillus sp. THM7-4                                 SEMD01000008.1        69558    71473    5.06   0              1              1              1              0              0              0              0            
Heyndrickxia coagulans MA-13                                  NZ_SMSP02000082.1     73640    76456    5.08   0              0              0              0              0              1              1              1            
Heyndrickxia coagulans MA-13                                  NZ_SMSP02000003.1     152      2559     7.08   0              1              1              1              1              0              0              0            
Lactobacillus crispatus RL27                                  NZ_NKKW01000223.1     106      1800     5.04   0              0              1              1              1              0              0              0            
Lactobacillus crispatus RL27                                  NZ_NKKW01000241.1     350      3082     5.08   0              0              0              0              0              1              1              1            
Lactobacillus crispatus UMB0044                               PKIX01000052.1        8414     11177    7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus LB138                                 NZ_JBBOJM010000003.1  10065    12023    5.05   0              1              1              1              0              0              0              0            
Lactobacillus crispatus RL16                                  NKLF01000004.1        8423     13985    13.14  0              1              1              1              1              1              1              1            
Lactobacillus crispatus                                       JAOBIJ010000085.1     2307     7364     11.14  0              1              1              1              1              1              1              0            
Lactobacillus crispatus LB87                                  NZ_JBBOIR010000005.1  12771    15593    7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus LB90                                  NZ_JBBOIT010000008.1  206      2317     5.05   0              0              0              1              1              1              0              0            
Lactobacillus crispatus RL20                                  NZ_NKLC01000341.1     518      2422     5.05   0              0              1              1              1              0              0              0            
Lactobacillus crispatus RL14                                  NZ_NKLH01000246.1     141      4796     11.13  0              0              1              1              1              1              1              1            
Listeria innocua 2015L-6726                                   NZ_CP095728.1         2350386  2352381  5.13   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans FAM 24235                 NZ_VBTE01000034.1     8888     10898    5.08   0              1              1              1              0              0              0              0            
Listeria seeligeri RR4                                        NZ_CP034772.1         2022461  2028142  13.29  0              1              1              1              1              1              1              1            
Sporosarcina luteola NBRC 105378                              NZ_BJYL01000015.1     62180    68066    10.11  0              1              1              0              1              1              1              1            
Listeria monocytogenes FSL L7-0647                            NZ_VTIE01000003.1     371426   377103   10.34  0              1              1              0              1              1              1              1            
Listeria monocytogenes FSL L7-0624                            NZ_VTIP01000001.1     842183   847860   10.34  0              1              1              0              1              1              1              1            
Listeria monocytogenes PNUSAL000963                           AAAIBL010000001.1     119684   125361   13.37  0              1              1              1              1              1              1              1            
Staphylococcus sp. KY49P                                      WJGV01000006.1        477793   483406   10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus                                         DAKSXZ010000124.1     16       2620     4.07   0              0              1              0              1              1              0              0            
Staphylococcus aureus                                         DAMWTZ010000010.1     28408    33161    5.08   0              0              1              0              1              1              0              1            
Staphylococcus aureus                                         DAMTFW010000038.1     18556    23587    6.12   0              1              0              0              1              1              1              0            
Staphylococcus aureus ST239                                   DALRMV010000003.1     68830    74450    8.13   0              1              0              0              1              1              1              1            
Staphylococcus aureus                                         DACNDN020000038.1     1100     4817     7.10   0              0              0              0              1              1              1              1            
Lactobacillus crispatus UMB1163                               JAAUWJ010000019.1     28451    32151    9.09   0              1              1              1              1              1              0              0            
Oribacterium sinus DSM 17245                                  NZ_JACHHH010000001.1  239161   241925   7.06   0              1              1              1              1              0              0              0            
Listeria innocua FSL L7-1663                                  NZ_JAARPQ010000001.1  879437   881432   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-1651                                  NZ_JAARPV010000001.1  605908   607897   5.12   0              1              1              1              0              0              0              0            
Listeria seeligeri FSL L7-1357                                NZ_JAARSA010000002.1  143491   149172   13.29  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL L7-1134                                NZ_JAARTU010000007.1  48975    50968    5.10   0              1              1              1              0              0              0              0            
Listeria seeligeri FSL L7-0900                                NZ_JAARVW010000002.1  112691   118375   13.29  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL L7-1626                                NZ_JAARQF010000021.1  49506    54610    11.27  0              1              1              1              1              1              1              0            
Listeria welshimeri FSL L7-1107                               JAARTZ010000019.1     23708    29395    13.32  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL L7-0952                                NZ_JAASUW010000012.1  49519    55203    13.29  0              1              1              1              1              1              1              1            
Listeria innocua FSL L7-0789                                  NZ_JAASVB010000001.1  278378   284050   13.35  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL L7-0617                                NZ_JAASVT010000004.1  146873   148875   5.10   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0317                                  NZ_JAARXO010000001.1  561978   563712   5.11   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0312                                  NZ_JAARXQ010000001.1  582394   584389   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0313                                  NZ_JAARXP010000001.1  568388   574066   13.35  0              1              1              1              1              1              1              1            
Listeria innocua FSL L7-0309                                  NZ_JAARXS010000001.1  606329   608318   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0311                                  NZ_JAARXR010000001.1  245987   247976   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0304                                  NZ_JAARXT010000001.1  593453   595448   5.13   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0291                                  NZ_JAARXW010000001.1  626227   628222   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0297                                  NZ_JAARXV010000001.1  605393   607382   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0288                                  NZ_JAARXX010000002.1  10343    12332    5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0285                                  NZ_JAARXY010000001.1  15524    17513    5.13   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0280                                  NZ_JAARXZ010000001.1  569873   571868   5.13   0              1              1              1              0              0              0              0            
Listeria innocua FSL L7-0279                                  NZ_JAARYA010000001.1  577573   579568   5.13   0              1              1              1              0              0              0              0            
Listeria cossartiae subsp. cossartiae FSL L7-0229             NZ_JAARYM010000001.1  791342   797020   13.36  0              1              1              1              1              1              1              1            
Listeria farberi FSL L7-0091                                  NZ_JAARZJ010000024.1  946      6618     13.36  0              1              1              1              1              1              1              1            
Listeria innocua FSL L7-1059                                  NZ_JAARUM010000001.1  295284   300956   13.35  0              1              1              1              1              1              1              1            
Listeria monocytogenes 2013L-5759                             NZ_JABXMT010000016.1  17945    23623    13.36  0              1              1              1              1              1              1              1            
Staphylococcus aureus NGA102                                  NZ_CP051191.1         476851   482464   10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus LL050a                                  JANECE010000001.1     131475   136506   8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus BBIG0249                                NZ_JASUAR010000262.1  265      3096     5.07   0              0              0              0              0              1              1              1            
Staphylococcus aureus MSSA02486                               NZ_CAYANN010000002.1  279      3996     7.10   0              0              0              0              1              1              1              1            
Staphylococcus aureus 23431N                                  JANEFN010000001.1     495818   500843   5.12   0              1              1              0              1              0              1              0            
Staphylococcus aureus ST20130718                              DAQAOU010000028.1     28576    31180    4.07   0              0              1              0              1              1              0              0            
Staphylococcus aureus                                         DAKTYE010000001.1     83440    89054    7.13   0              1              1              0              1              0              1              1            
Staphylococcus aureus                                         DALGHG010000028.1     0        4592     8.12   0              0              1              0              1              1              1              1            
Staphylococcus aureus                                         DAMXDJ010000024.1     353      5384     6.12   0              1              0              0              1              1              1              0            
Staphylococcus aureus                                         DAKNRW010000007.1     18631    24251    8.13   0              1              0              0              1              1              1              1            
Staphylococcus aureus                                         DANBOS010000003.1     164126   169747   5.08   0              1              0              0              1              1              0              1            
Staphylococcus aureus                                         DANBKP010000004.1     83440    89059    6.10   0              1              0              0              0              1              1              1            
Staphylococcus aureus                                         DAMXHM010000013.1     151      4315     6.12   0              0              1              0              1              1              1              0            
Staphylococcus aureus                                         DAMXBS010000051.1     327      4004     4.07   0              1              0              0              1              1              0              0            
Staphylococcus aureus                                         DAMWUO010000007.1     129993   133459   6.09   0              1              1              0              1              1              0              0            
Staphylococcus aureus 22942                                   DANGKV010000003.1     83278    88891    7.11   0              1              1              0              1              1              0              1            
Staphylococcus aureus TJ_016                                  DANHUV010000005.1     83440    89053    8.12   0              1              1              0              0              1              1              1            
Staphylococcus aureus                                         DAKENH010000119.1     0        2785     5.09   0              0              0              0              1              1              1              0            
Staphylococcus aureus ADL-210                                 DACLDZ010000095.1     4474     7249     4.08   0              1              1              0              1              0              0              0            
Limosilactobacillus walteri M31                               QORN01000012.1        6428     11947    13.14  0              1              1              1              1              1              1              1            
Marinilactibacillus psychrotolerans FME56                     NZ_JABUYJ010000072.1  6237     8247     5.08   0              1              1              1              0              0              0              0            
Listeria seeligeri FSL W9-0822                                NZ_JACTIU010000001.1  151969   157650   13.29  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL W9-0598                                NZ_JACTJS010000002.1  129519   135200   13.29  0              1              1              1              1              1              1              1            
Listeria seeligeri FSL W9-0276                                NZ_JACTLM010000002.1  398295   401951   9.18   0              1              1              1              1              1              0              0            
Listeria innocua FSL W9-0240                                  NZ_JACTLT010000001.1  846234   848223   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL W9-0285                                  NZ_JACTLI010000001.1  626507   628496   5.12   0              1              1              1              0              0              0              0            
Listeria innocua FSL W9-0228                                  NZ_JACTLY010000015.1  0        1780     5.11   0              1              1              1              0              0              0              0            
Listeria seeligeri Sr73                                       NZ_CP063071.1         1986772  1992453  13.29  0              1              1              1              1              1              1              1            
Staphylococcus aureus AR_03_S1                                JADWFU010000001.1     353534   355979   4.06   0              1              1              0              1              0              0              0            
Actinomyces naeslundii FDAARGOS_1037                          NZ_CP066049.1         2995438  2997400  5.04   0              1              1              1              0              0              0              0            
Enterococcus sp. BWB1-3                                       JADOEP010000003.1     68585    70562    5.09   0              1              1              1              0              0              0              0            
Enterococcus sp. BWT-B8                                       JAJDJV010000021.1     4        4003     9.19   0              0              0              1              1              1              1              1            
Listeria innocua Lin14-004                                    NZ_RBYK01000001.1     867969   869964   5.12   0              1              1              1              0              0              0              0            
Listeria innocua Lin13-009                                    NZ_RBYU01000001.1     866285   868274   5.12   0              1              1              1              0              0              0              0            
Enterococcus sp. DIV0869a                                     NZ_JAFLWD010000009.1  123776   129471   13.26  0              1              1              1              1              1              1              1            
Enterococcus sp. DIV0212c                                     NZ_CP147245.1         2495858  2501551  13.27  0              1              1              1              1              1              1              1            
Staphylococcus sp. GDY8P67P                                   NZ_JAESLH010000004.1  478535   481037   4.06   0              1              1              0              1              0              0              0            
Garciella nitratireducens                                     NZ_JAHDRZ010000014.1  550      2462     5.06   0              1              1              1              0              0              0              0            
Listeria seeligeri LS59                                       NZ_JAAOHW010000001.1  2171358  2177042  13.29  0              1              1              1              1              1              1              1            
Listeria seeligeri LS46                                       NZ_JAAIYQ010000001.1  1881279  1886963  13.29  0              1              1              1              1              1              1              1            
Exiguobacterium sp. S3 s3                                     NZ_JACSJW010000007.1  42593    47587    8.14   0              1              1              0              1              1              1              0            
Exiguobacterium sp. s131                                      NZ_JACSJX010000005.1  51216    56210    8.14   0              1              1              0              1              1              1              0            
Exiguobacterium sp. s6                                        NZ_JACSLN010000001.1  347843   353408   10.15  0              1              1              0              1              1              1              1            
Clostridium sp. MSJ-8                                         NZ_JAHLQH010000020.1  576      5694     8.14   0              1              1              0              1              1              1              0            
Lactobacillus crispatus ATCC 33820                            NZ_CP072197.1         35115    41215    8.12   0              1              0              0              1              1              1              1            
Lactobacillus crispatus NCK2488                               NZ_VUAV01000100.1     25       3490     7.10   0              0              0              0              1              1              1              1            
Lentibacillus saliphilus YIM 93176                            NZ_JABJXD010000004.1  45009    51046    10.11  0              1              1              0              1              1              1              1            
Staphylococcus aureus 364                                     NZ_JABTVH010000001.1  1052914  1058527  10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus K25C                                    NZ_CP063686.1         649618   654642   8.14   0              1              1              0              1              1              1              0            
Marinilactibacillus psychrotolerans M13-2                     NZ_BKBI01000008.1     5805     7782     5.08   0              1              1              1              0              0              0              0            
Marinilactibacillus psychrotolerans B7-9-5                    NZ_BKBH01000031.1     16116    21807    13.23  0              1              1              1              1              1              1              1            
Lactobacillus crispatus Lc1700                                CP083389.1            32805    39362    11.13  0              1              1              1              1              1              1              0            
Lactobacillus crispatus Lc116                                 CP083393.1            31626    39539    10.10  0              1              1              1              1              1              0              1            
Enterococcus sp. CWB-B31                                      NZ_JAJDJW010000007.1  154584   156561   5.09   0              1              1              1              0              0              0              0            
Staphylococcus ureilyticus                                    NZ_DYUM01000029.1     33952    36454    4.06   0              1              1              0              1              0              0              0            
Staphylococcus ureilyticus DRD-90                             NZ_JAVFYF010000001.1  92475    98088    10.15  0              1              1              0              1              1              1              1            
Staphylococcus lugdunensis CGMH-SL118                         NZ_CP048008.1         420014   425625   10.14  0              1              1              0              1              1              1              1            
Staphylococcus lugdunensis                                    JAWFYA010000032.1     22034    25460    6.09   0              1              1              0              1              1              0              0            
Staphylococcus lugdunensis acrnt                              NZ_JALCXT010000012.1  64551    69573    8.13   0              1              1              0              1              1              1              0            
Listeria marthii UTK_C1-0024-E1                               CP089089.1            1153176  1155183  5.12   0              1              1              1              0              0              0              0            
Lactobacillus crispatus lc83                                  NZ_CP061005.1         27845    36243    13.15  0              1              1              1              1              1              1              1            
Heyndrickxia coagulans 19-1-JSRL-34-1                         NZ_CP091468.1         100400   103185   7.09   0              1              1              1              1              0              0              0            
Staphylococcus argenteus MRSA-139-14-168                      NZ_CP096114.1         1567076  1569485  4.06   0              1              1              0              1              0              0              0            
Actinomyces naeslundii ATCC 27039                             AP025697.1            340563   345726   8.10   0              1              1              1              1              0              1              0            
Staphylococcus argenteus RIVM_M046968                         NZ_CP086574.1         1533870  1539483  10.15  0              1              1              0              1              1              1              1            
Staphylococcus argenteus 3532C2                               JAJAHI010000003.1     106756   111781   6.12   0              1              0              0              1              1              1              0            
Staphylococcus argenteus 3520C2                               JAJAHD010000001.1     357737   361902   6.11   0              0              1              0              1              1              1              0            
Staphylococcus argenteus 525                                  JAJAHL010000001.1     357577   361744   4.07   0              0              1              0              0              1              1              0            
Staphylococcus argenteus 594-1B                               JAJAHM010000001.1     532399   537423   8.14   0              1              1              0              1              1              1              0            
Staphylococcus argenteus SJTU F20124                          NZ_LWAN01000045.1     18415    21246    5.08   0              0              0              0              0              1              1              1            
Staphylococcus argenteus                                      NZ_FXVI01000065.1     0        2637     4.07   0              0              1              0              1              1              0              0            
Staphylococcus argenteus                                      NZ_FXWD01000063.1     723      3498     4.07   0              1              1              0              1              0              0              0            
Staphylococcus aureus SA356                                   NZ_JAGSCC010000001.1  367826   373440   10.14  0              1              1              0              1              1              1              1            
Latilactobacillus curvatus TMW 1.421                          NZ_CP016222.1         28438    33448    8.14   0              1              1              0              1              1              1              0            
Lactobacillus intestinalis DSM 6629                           NZ_CP072984.1         5500     11089    10.15  0              1              1              0              1              1              1              1            
Lactobacillus intestinalis DSM 6629                           NZ_AZGN01000002.1     6831     11849    8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus 12-G-51                                 NZ_CP102959.1         1531512  1537125  10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus 03-RR-88                                NZ_CP102961.1         1602405  1608018  10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus 18-H-62                                 NZ_CP102957.1         1507110  1509519  4.06   0              1              1              0              1              0              0              0            
Staphylococcus aureus 05-RR-90                                NZ_CP102972.1         1511257  1513666  4.06   0              1              1              0              1              0              0              0            
Staphylococcus aureus 17-H-61                                 NZ_CP102967.1         1544963  1550576  10.15  0              1              1              0              1              1              1              1            
Listeria innocua F6215                                        NZ_CP103399.1         1995290  1997279  5.12   0              1              1              1              0              0              0              0            
Fervidibacillus halotolerans MEBiC13594                       NZ_CP106877.1         113719   119557   10.11  0              1              1              0              1              1              1              1            
Fervidibacillus albus MEBiC13591                              NZ_CP106878.1         2294759  2300036  8.11   0              1              1              0              1              1              1              0            
Listeria innocua L171                                         NZ_JANVZK010000021.1  648666   654344   13.36  0              1              1              1              1              1              1              1            
Listeria innocua FDA904858-S001-008                           ABECOR010000044.1     0        2350     5.15   0              0              0              0              0              1              1              1            
Listeria innocua FDA904858-S001-002                           ABDYQY010000105.1     249      2244     5.13   0              1              1              1              0              0              0              0            
Listeria innocua FDA904858-S001-009                           ABECOU010000070.1     405      3213     7.18   0              1              1              1              1              0              0              0            
Listeria innocua FDA904858-S001-007                           ABECOJ010000038.1     251      5349     11.33  0              1              1              1              1              1              1              0            
Actinomyces naeslundii CW                                     NZ_CP113787.1         2941020  2942982  5.04   0              1              1              1              0              0              0              0            
Lactobacillus crispatus C0174C1                               NZ_JAKHQH010000068.1  122      2945     7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus C0174C1                               NZ_JAKHQH010000130.1  61       2682     5.08   0              0              0              0              0              1              1              1            
Lactobacillus crispatus LB59                                  NZ_JACCPU010000154.1  352      4322     9.11   0              0              0              1              1              1              1              1            
Lactobacillus crispatus C0123B1                               NZ_JAKHKG010000133.1  341      2299     5.05   0              1              1              1              0              0              0              0            
Lactobacillus crispatus C0022A5                               NZ_JAKHKN010000087.1  3897     5855     5.05   0              1              1              1              0              0              0              0            
Lactobacillus crispatus VA50-4AN                              NZ_JAAJBO010000092.1  2805     5612     5.08   0              0              0              0              0              1              1              1            
Lactobacillus crispatus M247                                  NZ_JAHOZA010000078.1  28403    31941    9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus C0086F8                               NZ_JAKHEZ010000059.1  59       5603     13.14  0              1              1              1              1              1              1              1            
Lactobacillus crispatus C0123B3                               NZ_JAKHKI010000134.1  125      2083     5.05   0              1              1              1              0              0              0              0            
Listeria innocua LS50                                         NZ_JAPKIF010000001.1  842851   844840   5.12   0              1              1              1              0              0              0              0            
Listeria seeligeri LS49                                       NZ_JAPJWF010000001.1  144310   149993   13.29  0              1              1              1              1              1              1              1            
Vallitalea longa SH18-1                                       NZ_BRLB01000024.1     55072    60829    3.04   0              1              0              0              1              0              1              0            
Enterococcus lactis 10NA                                      NZ_JANQBF010000032.1  12693    15179    7.11   0              1              1              1              1              0              0              0            
Vagococcus lutrae K136-2                                      NZ_CP116503.1         765640   770647   11.14  0              1              1              1              1              1              1              0            
Vagococcus lutrae P73-3                                       NZ_JARQBP010000028.1  692      6285     13.14  0              1              1              1              1              1              1              1            
Vagococcus lutrae K204-1                                      NZ_CP116507.1         840463   845466   8.12   0              1              1              1              0              1              1              0            
Lactobacillus crispatus VSI17                                 NZ_CP118077.1         27959    36430    10.13  0              1              1              1              1              0              1              1            
Lactobacillus crispatus VMC7                                  NZ_LJOM01000105.1     291      2388     7.05   0              0              1              1              1              1              0              0            
Lactobacillus crispatus UMB0052                               NZ_JASOQD010000041.1  10562    14322    9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus M247                                  NZ_CP088015.1         27938    34459    13.14  0              1              1              1              1              1              1              1            
Staphylococcus aureus 4HL                                     NZ_JARJBH010000010.1  58893    61338    4.06   0              1              1              0              1              0              0              0            
Lactobacillus sp. ESL0681                                     NZ_CP113943.1         437982   442399   3.06   0              1              0              0              1              0              1              0            
Listeria innocua MF4030                                       NZ_JAEORA010000001.1  627392   629387   5.13   0              1              1              1              0              0              0              0            
Staphylococcus epidermidis UMB7933                            NZ_JASPCW010000031.1  16800    22413    10.15  0              1              1              0              1              1              1              1            
Listeria innocua Lin5_CNKT_NWU                                JAVCAR010000013.1     581617   583606   5.12   0              1              1              1              0              0              0              0            
Staphylococcus aureus KNIH_6268                               NZ_CP134532.1         1607669  1610078  4.06   0              1              1              0              1              0              0              0            
Vagococcus lutrae D16-3                                       NZ_JARQBY010000008.1  35535    40542    11.14  0              1              1              1              1              1              1              0            
Clostridium sp.                                               NZ_DALZYQ010000005.1  97803    102859   11.13  0              1              1              1              1              1              1              0            
Lactobacillus crispatus UMB6244                               NZ_JAVTXG010000117.1  361      1920     5.04   0              0              1              1              1              0              0              0            
Lactobacillus crispatus                                       JASPEG010000087.1     502      3343     7.07   0              0              1              1              1              1              0              0            
Clostridium sp.                                               NZ_JAWGXD010000032.1  7500     11798    3.06   0              1              0              0              1              0              1              0            
Sporosarcina saromensis KCTC13119                             NZ_JAUBDI010000021.1  16843    22155    8.11   0              1              1              0              1              1              1              0            
Staphylococcus aureus PYP/02                                  NZ_JALSEQ010000003.1  66456    72069    10.14  0              1              1              0              1              1              1              1            
Staphylococcus aureus Gar NS 11                               NZ_JAMWTB010000001.1  333890   339503   10.15  0              1              1              0              1              1              1              1            
Weizmannia sp. CD-2023 B-1103                                 NZ_JARSQP010000026.1  812      5826     11.17  0              1              1              1              1              1              1              0            
Heyndrickxia coagulans B-1181                                 NZ_JARSQH010000166.1  0        2053     5.07   0              0              0              1              1              1              0              0            
Heyndrickxia coagulans NRS-2008                               NZ_JARTFE010000007.1  1056     3841     7.09   0              1              1              1              1              0              0              0            
Weizmannia sp. CD-2023 NRS-183                                NZ_JARTJS010000102.1  587      4292     9.12   0              1              1              1              1              1              0              0            
Weizmannia sp. CD-2023 NRS-176                                NZ_JARTJU010000017.1  941      5955     11.17  0              1              1              1              1              1              1              0            
Weizmannia sp. CD-2023 NRS-172                                NZ_JARTJV010000032.1  831      9259     8.14   0              1              0              1              1              1              1              0            
Carnobacterium sp.                                            NZ_JAVWNV010000057.1  12409    18097    13.23  0              1              1              1              1              1              1              1            
Enterococcus faecium T10-Aer-11                               NZ_JAXHQC010000110.1  411      3215     5.13   0              0              0              0              0              1              1              1            
Enterococcus faecium T10-Aer-11                               NZ_JAXHQC010000111.1  559      2536     5.08   0              1              1              1              0              0              0              0            
Enterococcus faecium T10-Aer-9                                NZ_JAXHQH010000063.1  260      5918     13.26  0              1              1              1              1              1              1              1            
Staphylococcus aureus 057403_SL152                            NZ_JBBNDM010000001.1  228122   233735   10.15  0              1              1              0              1              1              1              1            
Lactobacillus crispatus LB101                                 NZ_JBBOJE010000006.1  351      4321     9.11   0              0              0              1              1              1              1              1            
Lactobacillus crispatus LB103                                 NZ_JBBOJG010000005.1  265      4217     9.11   0              0              1              1              1              1              1              0            
Lactobacillus crispatus C0102E6                               NZ_JAKHFN010000057.1  62       3393     9.08   0              1              1              1              1              1              0              0            
Lactobacillus crispatus LB102                                 NZ_JBBOJF010000005.1  8363     13985    13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus LB98                                  NZ_JBBOJB010000001.1  28540    34096    13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus c4Ub_89_M                             JABUXS010000014.1     626      5623     11.14  0              1              1              1              1              1              1              0            
Weizmannia sp. FSL W8-0401                                    NZ_JBBPAG010000001.1  102774   104691   5.06   0              1              1              1              0              0              0              0            
Heyndrickxia faecalis ATA-LTC-Hc120204                        NZ_JBBPIZ010000068.1  868      5882     11.17  0              1              1              1              1              1              1              0            
Heyndrickxia faecalis ATA-LTC-Hc100204                        NZ_JBEHZF010000069.1  1906     7509     13.18  0              1              1              1              1              1              1              1            
Heyndrickxia faecalis BLT4                                    NZ_JBCNWO010000008.1  77729    83332    13.18  0              1              1              1              1              1              1              1            
Limosilactobacillus allomucosae WILCCON 0055                  NZ_JBCNVT010000001.1  1376562  1379654  5.07   0              0              0              0              1              1              1              0            
Lactobacillus crispatus 0421_295_1_1_MRS1                     NZ_JBETWH010000001.1  1349530  1355092  13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus CM2261_MRS3_S774-bin_1                NZ_JAKWVJ010000080.1  107      3867     9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus 0055_051_1_1_MRS12                    NZ_JBETWG010000016.1  498613   504175   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus                                       JAOBIA010000023.1     25       3713     9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus                                       NZ_CAZZQI010000001.1  34290    40524    8.12   0              1              1              1              1              0              1              0            
Lactobacillus crispatus 294_Q3_1                              NZ_JBETWD010000005.1  287057   292547   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus UMB6500                               NZ_JBFEHH010000098.1  479      3302     7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus 241_F3_3                              NZ_JBETWA010000004.1  863978   869600   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus                                       JAOBEA010000001.1     373      3194     7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus UMB0054                               PKKF01000019.1        28604    32304    9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus 241_F1_2                              NZ_JBETVZ010000005.1  2196419  2203287  13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus                                       JAOBGN010000178.1     158      3271     5.09   0              0              0              0              1              1              1              0            
Lactobacillus crispatus PSS7772C                              NZ_KQ961541.1         136      3739     7.10   0              0              0              0              1              1              1              1            
Lactobacillus crispatus RL10                                  NZ_NKLK01000261.1     497      2401     5.05   0              0              1              1              1              0              0              0            
Lactobacillus crispatus DZD_CM_10_S778-bin_2                  NZ_JAKXCJ010000064.1  37       1899     5.04   0              1              1              1              0              0              0              0            
Lactobacillus crispatus Lc1226                                CP083392.1            29952    34625    9.09   0              1              1              1              1              1              0              0            
Lactobacillus crispatus 194_Q3_2                              NZ_JBETVT010000001.1  1186615  1192081  13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus LB58                                  NZ_JACCPV010000169.1  130      2719     7.06   0              0              1              1              1              1              0              0            
Lactobacillus crispatus CRI10                                 JABERP010000002.1     22139    29082    10.13  0              1              1              1              1              0              1              1            
Lactobacillus crispatus UMB4340                               NZ_JAWWXM010000006.1  39195    42018    7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus VSI04                                 NZ_CP118947.1         2285341  2295706  6.07   0              1              0              1              1              1              0              0            
