	Organism	Scaffold	Start	End	Score	STS_Dehydrogenase	STS_E1-like	STS_StsA	STS_YcaO	assembly_file	representative	dereplication_status
543	Staphylococcus aureus Saari 9	NZ_WOCR01000002.1	77989	81117	3.1682	1	1	0	1	GCF_019050145.1_ASM1905014v1_genomic.fna.gz	GCA_044164975.1_PDT002439676.1_genomic.fna.gz	redundant
544	Staphylococcus aureus DUB7	CAIHQY010000001.1	365211	368339	3.1683	1	1	0	1	GCA_903804955.1_21631_7_13_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
545	Staphylococcus aureus MOS269	CAIIML010000001.1	371976	375104	3.1683	1	1	0	1	GCA_903810555.1_22139_5_106_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
546	Staphylococcus aureus ST7	DACKLM010000001.1	365138	368266	3.1683	1	1	0	1	GCA_015541825.1_PDT000871191.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
547	Staphylococcus aureus MSSA	DACLFS010000006.1	85342	88470	3.1683	1	1	0	1	GCA_015573175.1_PDT000811829.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
548	Staphylococcus aureus MSSA	DAPWNI010000003.1	275110	278238	3.1681	1	1	0	1	GCA_032221285.1_PDT001712984.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
549	Staphylococcus aureus MSSA	DARPRO010000001.1	541204	544332	3.1681	1	1	0	1	GCA_033829405.1_PDT001712605.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
550	Staphylococcus aureus AUSMDU00007482	DACMNR010000002.1	170358	173486	3.1681	1	1	0	1	GCA_015596065.1_PDT000619007.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
551	Staphylococcus aureus AUSMDU00007885	DACMOH010000001.1	230771	233899	3.1681	1	1	0	1	GCA_015596605.1_PDT000618932.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
552	Staphylococcus aureus AUSMDU00034426	DACMOO010000001.1	274865	277993	3.1681	1	1	0	1	GCA_015599625.1_PDT000618923.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
553	Staphylococcus aureus AUSMDU00008488	DACMOU010000001.1	542147	545275	3.1681	1	1	0	1	GCA_015599745.1_PDT000618917.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
554	Staphylococcus aureus AUSMDU00021197	DADJGJ010000002.1	177913	181041	3.1681	1	1	0	1	GCA_017083825.1_PDT000974937.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
555	Staphylococcus aureus AUSMDU00021862	DADJHL010000028.1	2223	5351	3.1681	1	1	0	1	GCA_017084365.1_PDT000974902.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
556	Staphylococcus aureus AUSMDU00022678	DADJJI010000001.1	275052	278180	3.1681	1	1	0	1	GCA_017085585.1_PDT000974850.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
557	Staphylococcus aureus AUSMDU00020908	DADJKI010000023.1	14874	18002	3.1681	1	1	0	1	GCA_017086125.1_PDT000974822.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
558	Staphylococcus aureus AUSMDU00022953	DADJKP010000001.1	184490	187618	3.1681	1	1	0	1	GCA_017086665.1_PDT000974816.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
559	Staphylococcus aureus AUSMDU00023325	DADJLQ010000030.1	1053	4181	3.1681	1	1	0	1	GCA_017087385.1_PDT000974792.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
560	Staphylococcus aureus AUSMDU00023157	DADJMD010000001.1	275052	278180	3.1681	1	1	0	1	GCA_017087665.1_PDT000974788.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
561	Staphylococcus aureus AUSMDU00022976	DADJMF010000001.1	274961	278089	3.1681	1	1	0	1	GCA_017087505.1_PDT000974776.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
562	Staphylococcus aureus AUSMDU00022589	DADJNK010000056.1	2230	5358	3.1681	1	1	0	1	GCA_017088195.1_PDT000974749.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
563	Staphylococcus aureus AUSMDU00018211	DADJQZ010000003.1	274993	278121	3.1681	1	1	0	1	GCA_017092245.1_PDT000974649.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
564	Staphylococcus aureus AUSMDU00016948	DADJSM010000044.1	2218	5346	3.1681	1	1	0	1	GCA_017092665.1_PDT000974623.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
565	Staphylococcus aureus AUSMDU00015267	DADJTI010000002.1	274926	278054	3.1678	1	1	0	1	GCA_017093485.1_PDT000974581.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
566	Staphylococcus aureus AUSMDU00019496	DADJUS010000002.1	275052	278180	3.1681	1	1	0	1	GCA_017094165.1_PDT000974546.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
567	Staphylococcus aureus AUSMDU00014858	DADJYF010000011.1	1279	4407	3.1681	1	1	0	1	GCA_017096145.1_PDT000974457.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
568	Staphylococcus aureus AUSMDU00020020	DADJZM010000001.1	184453	187581	3.1681	1	1	0	1	GCA_017096465.1_PDT000974413.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
569	Staphylococcus aureus AUSMDU00020019	DADJZW010000011.1	1030	4158	3.1681	1	1	0	1	GCA_017097105.1_PDT000974416.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
570	Staphylococcus aureus AUSMDU00019276	DADKAF010000036.1	996	4124	3.1681	1	1	0	1	GCA_017097425.1_PDT000974398.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
571	Staphylococcus aureus AUSMDU00020023	DADKAI010000002.1	275053	278181	3.1681	1	1	0	1	GCA_017097365.1_PDT000974402.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
572	Staphylococcus aureus AUSMDU00015647	DADKAL010000002.1	230696	233824	3.1681	1	1	0	1	GCA_017097785.1_PDT000974377.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
573	Staphylococcus aureus AUSMDU00015459	DADKAO010000001.1	424727	427855	3.1681	1	1	0	1	GCA_017097705.1_PDT000974381.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
574	Staphylococcus aureus AUSMDU00015687	DADKAU010000001.1	230801	233929	3.1678	1	1	0	1	GCA_017098005.1_PDT000974374.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
575	Staphylococcus aureus AUSMDU00016594	DADKCB010000001.1	275051	278179	3.1681	1	1	0	1	GCA_017098625.1_PDT000974333.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
576	Staphylococcus aureus AUSMDU00018647	DADKEN010000046.1	962	4090	3.1681	1	1	0	1	GCA_017099755.1_PDT000974274.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
577	Staphylococcus aureus AUSMDU00016524	DADOKP010000070.1	1044	4172	3.1678	1	1	0	1	GCA_017661515.1_PDT000995386.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
578	Staphylococcus aureus AUSMDU00017121	DADOLA010000001.1	275051	278179	3.1681	1	1	0	1	GCA_017662075.1_PDT000995219.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
579	Staphylococcus aureus AUSMDU00014661	DADOLC010000001.1	230884	234012	3.1681	1	1	0	1	GCA_017662015.1_PDT000995295.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
580	Staphylococcus aureus AUSMDU00011393	DADOLM010000004.1	2237	5365	3.1681	1	1	0	1	GCA_017662935.1_PDT000995416.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
581	Staphylococcus aureus AUSMDU00017747	DADOLO010000049.1	1272	4400	3.1681	1	1	0	1	GCA_017662955.1_PDT000995138.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
582	Staphylococcus aureus AUSMDU00014660	DADOPC010000011.1	1045	4173	3.1681	1	1	0	1	GCA_017665095.1_PDT000995296.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
583	Staphylococcus aureus AUSMDU00010929	DADOUF010000012.1	2210	5338	3.1681	1	1	0	1	GCA_017667795.1_PDT000995446.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
584	Staphylococcus aureus AUSMDU00011829	DADOUA010000015.1	2310	5438	3.1681	1	1	0	1	GCA_017667875.1_PDT000995378.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
585	Staphylococcus aureus AUSMDU00010574	DADOWV010000001.1	459406	462534	3.1681	1	1	0	1	GCA_017669155.1_PDT000995244.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
586	Staphylococcus aureus AUSMDU00011403	DADOYG010000001.1	275042	278170	3.1681	1	1	0	1	GCA_017670545.1_PDT000995417.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
587	Staphylococcus aureus AUSMDU00017239	DAEGIZ010000004.1	2177	5305	3.1681	1	1	0	1	GCA_018586645.1_PDT001049002.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
588	Staphylococcus aureus AUSMDU00020473	DAEGJM010000001.1	265088	268216	3.1681	1	1	0	1	GCA_018586685.1_PDT001048990.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
589	Staphylococcus aureus AUSMDU00016579	DAEGSN010000038.1	2168	5296	3.1681	1	1	0	1	GCA_018602835.1_PDT001049004.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
590	Staphylococcus aureus 612-3	DAHQMJ010000003.1	376588	379716	3.1678	1	1	0	1	GCA_024018575.1_PDT001337720.1_genomic.fna.gz	GCA_026811365.1_PDT001522747.1_genomic.fna.gz	redundant
591	Staphylococcus aureus 620-1	DAHQMZ010000005.1	85343	88471	3.1683	1	1	0	1	GCA_024018895.1_PDT001337704.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
592	Staphylococcus aureus 612-1	DAHQND010000001.1	376588	379716	3.1678	1	1	0	1	GCA_024018975.1_PDT001337700.1_genomic.fna.gz	GCA_026811365.1_PDT001522747.1_genomic.fna.gz	redundant
593	Staphylococcus aureus 1392-1	DAHQNX010000006.1	85286	88414	3.1683	1	1	0	1	GCA_024019355.1_PDT001337679.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
594	Staphylococcus aureus ST239	DAJOSV010000002.1	70726	73854	3.1683	1	1	0	1	GCA_025706445.1_PDT001453265.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
595	Staphylococcus aureus SKLX115141	DAKJSP010000006.1	85336	88464	3.1683	1	1	0	1	GCA_026508075.1_PDT001502486.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
596	Staphylococcus aureus SKLX56176	DAKJWK010000006.1	85336	88464	3.1683	1	1	0	1	GCA_026510265.1_PDT001501936.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
597	Staphylococcus aureus SKLX70439	DAKJYW010000006.1	85336	88464	3.1683	1	1	0	1	GCA_026511745.1_PDT001502330.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
598	Staphylococcus aureus 14-00563	DAKYOB010000001.1	365097	368225	3.1683	1	1	0	1	GCA_026858295.1_PDT001523663.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
599	Staphylococcus aureus 14-00435	DAKYQT010000010.1	60838	63966	3.1683	1	1	0	1	GCA_026859695.1_PDT001523412.1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
600	Staphylococcus aureus t131	DAKYZV010000001.1	363429	366557	3.1678	1	1	0	1	GCA_026867735.1_PDT001523999.1_genomic.fna.gz	GCA_026811365.1_PDT001522747.1_genomic.fna.gz	redundant
601	Staphylococcus aureus S32105-2015	DAKZIM010000002.1	796	3924	3.1681	1	1	0	1	GCA_026877565.1_PDT001525027.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
602	Staphylococcus aureus S20107-2017	DAKZIQ010000001.1	542338	545466	3.1681	1	1	0	1	GCA_026877585.1_PDT001525014.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
603	Staphylococcus aureus S24102-2017	DAKZIR010000001.1	542207	545335	3.1681	1	1	0	1	GCA_026877665.1_PDT001524999.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
604	Staphylococcus aureus S20302-2017	DAKZIS010000004.1	131465	134593	3.1681	1	1	0	1	GCA_026877625.1_PDT001525012.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
605	Staphylococcus aureus S53512-2016	DAKZJZ010000003.1	553	3681	3.1681	1	1	0	1	GCA_026878445.1_PDT001525037.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
606	Staphylococcus aureus S20306-2017	DAKZKD010000001.1	230767	233895	3.1681	1	1	0	1	GCA_026878505.1_PDT001525010.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
607	Staphylococcus aureus S20102-2017	DAKZKB010000001.1	275051	278179	3.1681	1	1	0	1	GCA_026878485.1_PDT001525015.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
608	Staphylococcus aureus S23607-2017	DAKZKH010000002.1	274605	277733	3.1681	1	1	0	1	GCA_026878545.1_PDT001525001.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
609	Staphylococcus aureus S23608-2017	DAKZKI010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026878645.1_PDT001525000.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
610	Staphylococcus aureus S32101-2017	DAKZKK010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026878625.1_PDT001524995.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
611	Staphylococcus aureus S41109-2017	DAKZKL010000001.1	425759	428887	3.1681	1	1	0	1	GCA_026878665.1_PDT001524988.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
612	Staphylococcus aureus S33102-2017	DAKZKJ010000001.1	491685	494813	3.1678	1	1	0	1	GCA_026878685.1_PDT001524991.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
613	Staphylococcus aureus S41111-2017	DAKZKM010000001.1	425759	428887	3.1681	1	1	0	1	GCA_026878705.1_PDT001524987.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
614	Staphylococcus aureus S43906-2017	DAKZKU010000001.1	274925	278053	3.1681	1	1	0	1	GCA_026878825.1_PDT001524963.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
615	Staphylococcus aureus S42913-2017	DAKZKS010000002.1	230779	233907	3.1681	1	1	0	1	GCA_026878865.1_PDT001524970.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
616	Staphylococcus aureus S42905-2017	DAKZKO010000001.1	541204	544332	3.1681	1	1	0	1	GCA_026878765.1_PDT001524979.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
617	Staphylococcus aureus S42910-2017	DAKZKR010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026878805.1_PDT001524975.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
618	Staphylococcus aureus S42908-2017	DAKZKQ010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026878745.1_PDT001524977.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
619	Staphylococcus aureus S51006-2017	DAKZKV010000001.1	542338	545466	3.1681	1	1	0	1	GCA_026878905.1_PDT001524958.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
620	Staphylococcus aureus S51010-2017	DAKZKX010000001.1	542329	545457	3.1681	1	1	0	1	GCA_026878945.1_PDT001524955.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
621	Staphylococcus aureus S51009-2017	DAKZKY010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026878925.1_PDT001524956.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
622	Staphylococcus aureus S53512-2017	DAKZLJ010000001.1	131585	134713	3.1681	1	1	0	1	GCA_026879145.1_PDT001524936.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
623	Staphylococcus aureus S43909-2017	DAKZKW010000003.1	70763	73891	3.1681	1	1	0	1	GCA_026878885.1_PDT001524961.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
624	Staphylococcus aureus S53505-2017	DAKZLD010000003.1	131477	134605	3.1681	1	1	0	1	GCA_026879085.1_PDT001524941.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
625	Staphylococcus aureus S62606-2017	DAKZLR010000003.1	274926	278054	3.1681	1	1	0	1	GCA_026879305.1_PDT001524922.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
626	Staphylococcus aureus S41203-2015	DAKZLQ010000113.1	416	3544	3.1681	1	1	0	1	GCA_026879325.1_PDT001524920.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
627	Staphylococcus aureus S41206-2015	DAKZLS010000001.1	30850	33978	3.1681	1	1	0	1	GCA_026879345.1_PDT001524919.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
628	Staphylococcus aureus S41220-2015	DAKZLT010000001.1	284	3412	3.1681	1	1	0	1	GCA_026879405.1_PDT001524916.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
629	Staphylococcus aureus S53502-2015	DAKZMF010000046.1	267	3395	3.1681	1	1	0	1	GCA_026879605.1_PDT001524876.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
630	Staphylococcus aureus S62619-2017	DAKZML010000003.1	230945	234073	3.1681	1	1	0	1	GCA_026879725.1_PDT001524847.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
631	Staphylococcus aureus S62620-2017	DAKZMJ010000001.1	540940	544068	3.1681	1	1	0	1	GCA_026879745.1_PDT001524846.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
632	Staphylococcus aureus S63306-2017	DAKZMQ010000003.1	230806	233934	3.1681	1	1	0	1	GCA_026879805.1_PDT001524839.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
633	Staphylococcus aureus S63311-2017	DAKZMP010000001.1	275050	278178	3.1681	1	1	0	1	GCA_026879845.1_PDT001524835.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
634	Staphylococcus aureus S63313-2017	DAKZMR010000001.1	542329	545457	3.1681	1	1	0	1	GCA_026879865.1_PDT001524833.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
635	Staphylococcus aureus S63312-2017	DAKZMU010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026879825.1_PDT001524834.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
636	Staphylococcus aureus S24111-2017	DAKZNQ010000003.1	70763	73891	3.1681	1	1	0	1	GCA_026880925.1_PDT001524997.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
637	Staphylococcus aureus S20214-2017	DAKZNO010000003.1	274735	277863	3.1681	1	1	0	1	GCA_026880845.1_PDT001525013.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
638	Staphylococcus aureus S33106-2017	DAKZNR010000003.1	70763	73891	3.1681	1	1	0	1	GCA_026880945.1_PDT001524990.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
639	Staphylococcus aureus S20606-2017	DAKZNN010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026880885.1_PDT001525008.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
640	Staphylococcus aureus S63716-2016	DAKZNM010000001.1	229675	232803	3.1681	1	1	0	1	GCA_026880825.1_PDT001525020.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
641	Staphylococcus aureus S51539-2016	DAKZNI010000014.1	29626	32754	3.1681	1	1	0	1	GCA_026880745.1_PDT001525043.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
642	Staphylococcus aureus S20906-2017	DAKZNP010000002.1	274928	278056	3.1681	1	1	0	1	GCA_026880865.1_PDT001525004.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
643	Staphylococcus aureus S51013-2016	DAKZNG010000002.1	477	3605	3.1681	1	1	0	1	GCA_026880705.1_PDT001525054.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
644	Staphylococcus aureus S32109-2017	DAKZNS010000001.1	274925	278053	3.1681	1	1	0	1	GCA_026880905.1_PDT001524992.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
645	Staphylococcus aureus S31906-2015	DAKZOG010000001.1	274891	278019	3.1681	1	1	0	1	GCA_026881425.1_PDT001525049.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
646	Staphylococcus aureus S20313-2017	DAKZOL010000009.1	70763	73891	3.1681	1	1	0	1	GCA_026881445.1_PDT001525009.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
647	Staphylococcus aureus S24106-2017	DAKZON010000001.1	230757	233885	3.1681	1	1	0	1	GCA_026881465.1_PDT001524998.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
648	Staphylococcus aureus S41210-2017	DAKZOP010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026881505.1_PDT001524982.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
649	Staphylococcus aureus S63722-2016	DAKZOJ010000001.1	275052	278180	3.1681	1	1	0	1	GCA_026881525.1_PDT001525018.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
650	Staphylococcus aureus S20618-2017	DAKZOM010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026881665.1_PDT001525007.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
651	Staphylococcus aureus S42911-2017	DAKZOR010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026881705.1_PDT001524974.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
652	Staphylococcus aureus S43001-2017	DAKZOS010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026881725.1_PDT001524969.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
653	Staphylococcus aureus S42903-2017	DAKZOQ010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026881685.1_PDT001524980.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
654	Staphylococcus aureus S43903-2017	DAKZOT010000001.1	542368	545496	3.1681	1	1	0	1	GCA_026881745.1_PDT001524965.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
655	Staphylococcus aureus S43908-2017	DAKZOU010000001.1	131463	134591	3.1681	1	1	0	1	GCA_026881785.1_PDT001524962.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
656	Staphylococcus aureus S51008-2017	DAKZOV010000001.1	496229	499357	3.1681	1	1	0	1	GCA_026881805.1_PDT001524957.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
657	Staphylococcus aureus S51017-2017	DAKZPA010000003.1	230945	234073	3.1681	1	1	0	1	GCA_026881845.1_PDT001524950.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
658	Staphylococcus aureus S51510-2017	DAKZOY010000001.1	542336	545464	3.1678	1	1	0	1	GCA_026881885.1_PDT001524947.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
659	Staphylococcus aureus S53509-2017	DAKZPC010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026881925.1_PDT001524939.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
660	Staphylococcus aureus S20304-2017	DAKZPQ010000001.1	542342	545470	3.1678	1	1	0	1	GCA_026882745.1_PDT001525011.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
661	Staphylococcus aureus S41108-2017	DAKZPS010000001.1	542337	545465	3.1681	1	1	0	1	GCA_026882765.1_PDT001524989.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
662	Staphylococcus aureus S41113-2017	DAKZPT010000003.1	230751	233879	3.1681	1	1	0	1	GCA_026882785.1_PDT001524986.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
663	Staphylococcus aureus S31913-2017	DAKZPR010000001.1	542337	545465	3.1678	1	1	0	1	GCA_026882705.1_PDT001524996.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
664	Staphylococcus aureus S41115-2017	DAKZPU010000002.1	103339	106467	3.1681	1	1	0	1	GCA_026882825.1_PDT001524984.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
665	Staphylococcus aureus S42909-2017	DAKZPW010000001.1	425760	428888	3.1681	1	1	0	1	GCA_026882845.1_PDT001524976.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
666	Staphylococcus aureus S42912-2017	DAKZPV010000001.1	542315	545443	3.1681	1	1	0	1	GCA_026882805.1_PDT001524973.1_genomic.fna.gz	GCF_008762785.1_ASM876278v1_genomic.fna.gz	redundant
